username_URL,username,trail_URL,trail,date
https://www.trailforks.com/profile/ALS201519/,ALS201519,https://www.trailforks.com/trails/graveyard-37187/,Graveyard,"Apr 28, 2020"
https://www.trailforks.com/profile/ALS201519/,ALS201519,https://www.trailforks.com/trails/abram-s-rock-east/,Abram's Rock East,"Apr 28, 2020"
https://www.trailforks.com/profile/ALS201519/,ALS201519,https://www.trailforks.com/trails/abram-s-rock-west/,Abram's Rock West,"Apr 28, 2020"
https://www.trailforks.com/profile/ALS201519/,ALS201519,https://www.trailforks.com/trails/bridges-83923/,Bridges,"Apr 28, 2020"
https://www.trailforks.com/profile/ALS201519/,ALS201519,https://www.trailforks.com/trails/drop-trail-83924/,Drop Trail,"Apr 28, 2020"
https://www.trailforks.com/profile/ALS201519/,ALS201519,https://www.trailforks.com/trails/two-guys-too/,Two Guys Too,"Apr 28, 2020"
https://www.trailforks.com/profile/ALS201519/,ALS201519,https://www.trailforks.com/trails/fireroad-83951/,Fireroad,"Apr 28, 2020"
https://www.trailforks.com/profile/ALS201519/,ALS201519,https://www.trailforks.com/trails/thing-2-83952/,Thing 2,"Apr 28, 2020"
https://www.trailforks.com/profile/voldaran/,voldaran,https://www.trailforks.com/trails/bpa-trail-2/,BPA Trail 2,"Apr 28, 2020"
https://www.trailforks.com/profile/voldaran/,voldaran,https://www.trailforks.com/trails/na-19-to-na-21-south-loop/,NA 19 to NA 21 (South Loop),"Apr 28, 2020"
https://www.trailforks.com/profile/voldaran/,voldaran,https://www.trailforks.com/trails/nrt-north-trail/,NRT North Trail,"Apr 28, 2020"
https://www.trailforks.com/profile/voldaran/,voldaran,https://www.trailforks.com/trails/yellow-diamond-bypass/,Yellow Diamond Bypass,"Apr 28, 2020"
https://www.trailforks.com/profile/voldaran/,voldaran,https://www.trailforks.com/trails/yellow-diamond-connector/,Yellow Diamond Connector,"Apr 28, 2020"
https://www.trailforks.com/profile/voldaran/,voldaran,https://www.trailforks.com/trails/school-days-shortcut/,School Days Shortcut,"Apr 28, 2020"
https://www.trailforks.com/profile/voldaran/,voldaran,https://www.trailforks.com/trails/acorn-connector-81111/,Acorn Connector,"Apr 28, 2020"
