title_URL,title,ridingarea,distance,descent,climb,DifficultyRating,Coordinates,Local_Popularity
https://www.trailforks.com/trails/cematary-trail/,Cematary  Trail,Nickerson State Park,"4,456 ft",-109 ft,55 ft,"
                     Blue rate
                ","(41.768610, -70.038280)",55
https://www.trailforks.com/trails/cemetary-run-351948/,Cemetary Run,Holliston,"1,562 ft",-26 ft,,"
                     Blue rate
                ","(42.190940, -71.432870)",60
https://www.trailforks.com/trails/cemetery-connector-415671/,Cemetery Connector,Barnstable,"2,858 ft",-9 ft,,"
                     Green rate
                ","(41.635890, -70.437730)",5
https://www.trailforks.com/trails/cemetery-parking-to-trail1/,Cemetery Parking to Trail1,Hodges Village Dam,"1,493 ft",-4 ft,3 ft,"
                     White rate
                ","(42.142640, -71.871680)",60
https://www.trailforks.com/trails/cemetery-trail-276390/,Cemetery Trail,Lone Tree Hill,696 ft,,6 ft,"
                     Green rate
                ","(42.397540, -71.187040)",60
https://www.trailforks.com/trails/cemetry-access-trail/,Cemetry Access Trail,Duxbury Trail Network,63 ft,,,"
                     Blue rate
                ","(42.033950, -70.697040)",40
https://www.trailforks.com/trails/cemetry-access-trail-168764/,Cemetry Access Trail,Duxbury Trail Network,237 ft,-7 ft,,"
                     Blue rate
                ","(42.034320, -70.697230)",40
https://www.trailforks.com/trails/center-street/,Center Street,Pratt Farm,"2,182 ft",-5 ft,39 ft,"
                     Green rate
                ","(41.896690, -70.893170)",65
https://www.trailforks.com/trails/center-trail-243935/,Center Trail,Shaw Farm,"2,569 ft",-69 ft,104 ft,"
                     Blue rate
                ","(42.137480, -71.762810)",25
https://www.trailforks.com/trails/center-trail-315267/,Center Trail,Center Trail Conservation Area,1 mile,,76 ft,"
                     White rate
                ","(42.225510, -71.529000)",50
https://www.trailforks.com/trails/central-corridor/,Central Corridor,Amesbury,"1,145 ft",-13 ft,,"
                     Green rate
                ","(42.852990, -70.964240)",65
https://www.trailforks.com/trails/central-park-91973/,Central Park,Old Jail Lane,"3,372 ft",-83 ft,92 ft,"
                     Blue rate
                ","(41.693630, -70.316090)",85
https://www.trailforks.com/trails/central-spaghetti/,Central Spaghetti,Chicopee Memorial State Park,1 mile,-67 ft,67 ft,"
                     Blue rate
                ","(42.173920, -72.555340)",75
https://www.trailforks.com/trails/cereal-bowl/,Cereal Bowl,Facing Rock Wildlife Management Area,"4,524 ft",-67 ft,115 ft,"
                     Blue rate
                ","(42.203970, -72.461680)",75
https://www.trailforks.com/trails/cessina/,Cessina,Falmouth,"1,483 ft",-22 ft,14 ft,"
                     Green rate
                ","(41.605950, -70.587310)",30
https://www.trailforks.com/trails/ch1-ch2/,CH1 - CH2,Freetown-Fall River SF / SEMASS Bioreserve Trails,"1,982 ft",,34 ft,"
                     Blue rate
                ","(41.721640, -71.044660)",65
https://www.trailforks.com/trails/ch2-hs9/,CH2 - HS9,Freetown-Fall River SF / SEMASS Bioreserve Trails,2 miles,-111 ft,135 ft,"
                     Blue rate
                ","(41.721320, -71.051600)",60
https://www.trailforks.com/trails/ch3ch2/,CH3-CH2,Freetown-Fall River SF / SEMASS Bioreserve Trails,482 ft,-10 ft,,"
                     Blue rate
                ","(41.721350, -71.053320)",85
https://www.trailforks.com/trails/ch4-ch3/,CH4 - CH3,Freetown-Fall River SF / SEMASS Bioreserve Trails,"1,168 ft",-95 ft,,"
                     Blue rate
                ","(41.721250, -71.057560)",40
https://www.trailforks.com/trails/ch5-ch4/,CH5 - CH4,Freetown-Fall River SF / SEMASS Bioreserve Trails,"2,791 ft",-25 ft,120 ft,"
                     Blue rate
                ","(41.725980, -71.055960)",40
https://www.trailforks.com/trails/ch7-ch3/,CH7 - CH3,Freetown-Fall River SF / SEMASS Bioreserve Trails,"3,038 ft",-31 ft,3 ft,"
                     Blue rate
                ","(41.713220, -71.053810)",85
https://www.trailforks.com/trails/ch7-ch8/,CH7 - CH8,Freetown-Fall River SF / SEMASS Bioreserve Trails,"1,855 ft",-31 ft,11 ft,"
                     Green rate
                ","(41.709510, -71.057300)",95
https://www.trailforks.com/trails/ch8-itr/,CH8 - ITR,Freetown-Fall River SF / SEMASS Bioreserve Trails,879 ft,,,"
                     Green rate
                ","(41.712090, -71.053980)",35
https://www.trailforks.com/trails/ch9-ch2/,CH9 - CH2,Freetown-Fall River SF / SEMASS Bioreserve Trails,1 mile,-40 ft,83 ft,"
                     Blue rate
                ","(41.721320, -71.051600)",65
https://www.trailforks.com/trails/chain-lift/,Chain Lift,Duxbury Trail Network,"1,693 ft",-55 ft,45 ft,"
                     Green rate
                ","(42.042130, -70.701680)",40
https://www.trailforks.com/trails/challenge-trail/,Challenge Trail,Shaw Farm,"1,234 ft",-84 ft,12 ft,"
                     Black Diamond rate
                ","(42.137760, -71.762340)",65
https://www.trailforks.com/trails/challenger-258774/,Challenger,Vietnam Trail Network,"3,668 ft",-133 ft,65 ft,"
                     Blue rate
                ","(42.183950, -71.501870)",80
https://www.trailforks.com/trails/challenger-exit/,Challenger Exit,Vietnam Trail Network,413 ft,,18 ft,"
                     Blue rate
                ","(42.184740, -71.501650)",85
https://www.trailforks.com/trails/chamberlain-path/,Chamberlain Path,Stony Brook Reservation,"2,116 ft",-3 ft,46 ft,"
                     Green rate
                ","(42.257370, -71.135730)",90
https://www.trailforks.com/trails/chamberlain-pond-overlook-trail/,Chamberlain Pond Overlook Trail,Douglas State Forest,413 ft,-5 ft,5 ft,"
                     Blue rate
                ","(42.039980, -71.807130)",20
https://www.trailforks.com/trails/chamberlain-pond-trail/,Chamberlain Pond Trail,Douglas State Forest,3 miles,-334 ft,364 ft,"
                    Pack A Sandwich                ","(42.037480, -71.786320)",40
https://www.trailforks.com/trails/chandler-ring-north/,Chandler Ring North,pembroke,"1,499 ft",-3 ft,,"
                     Blue rate
                ","(42.043090, -70.766300)",80
https://www.trailforks.com/trails/change-pond-trail/,Change Pond Trail,Myles Standish State Forest,5 miles,-237 ft,235 ft,"
                    Neverending Trail                ","(41.824730, -70.661660)",70
https://www.trailforks.com/trails/chapel-falls-d-a-r-trail/,Chapel Falls - D.A.R. Trail,DAR State Forest,2 miles,-605 ft,148 ft,,"(42.473090, -72.791820)",45
https://www.trailforks.com/trails/chapman-s-corner-trail/,Chapman's Corner Trail,Beverly,"1,604 ft",-32 ft,34 ft,"
                     Blue rate
                ","(42.556590, -70.857260)",25
https://www.trailforks.com/trails/char-s-hillock-orange/,Char's Hillock (Orange),Amesbury Town Forest,334 ft,,30 ft,"
                     Green rate
                ","(42.852580, -70.963590)",30
https://www.trailforks.com/trails/charbook-cutoff/,Charbook Cutoff,Princeton,709 ft,-19 ft,,"
                     Blue rate
                ","(42.459510, -71.931620)",60
https://www.trailforks.com/trails/charles-river-loop/,Charles River Loop,Vietnam Trail Network,807 ft,-13 ft,30 ft,"
                     Blue rate
                ","(42.173100, -71.503430)",55
https://www.trailforks.com/trails/charles-river-miniloop/,Charles River MiniLoop,Noon Hill & Shattuck Reservation,203 ft,-9 ft,,"
                     Green rate
                ","(42.164100, -71.330140)",80
https://www.trailforks.com/trails/charles-river-tow-road/,Charles River Tow Road,Vietnam Trail Network,"5,107 ft",-29 ft,4 ft,"
                     Green rate
                ","(42.187370, -71.504560)",65
https://www.trailforks.com/trails/charles-river-trail/,Charles River Trail,Vietnam Trail Network,"1,243 ft",-2 ft,3 ft,"
                     Blue rate
                ","(42.176750, -71.504210)",50
https://www.trailforks.com/trails/charlie-132364/,Charlie,West Hill Dam,"4,400 ft",-42 ft,31 ft,"
                     Blue rate
                ","(42.107560, -71.611850)",100
https://www.trailforks.com/trails/charlie-s-bypass/,Charlie's Bypass,West Barnstable Conservation Area,"1,190 ft",-16 ft,31 ft,"
                     Blue rate
                ","(41.698920, -70.420650)",95
https://www.trailforks.com/trails/charlie-s-bypass-connector/,Charlie's Bypass Connector,West Barnstable,115 ft,,3 ft,"
                     Green rate
                ","(41.700360, -70.420220)",25
https://www.trailforks.com/trails/chase-me/,Chase Me,West Barnstable Conservation Area,"1,329 ft",-29 ft,47 ft,"
                     Blue rate
                ","(41.704520, -70.420500)",80
https://www.trailforks.com/trails/chatham-road-connector/,Chatham Road Connector,Dennis,"3,156 ft",-13 ft,7 ft,"
                     Blue rate
                ","(41.699580, -70.128810)",5
https://www.trailforks.com/trails/chattering-rock/,Chattering Rock,Vietnam Trail Network,"1,291 ft",-24 ft,7 ft,"
                     Green rate
                ","(42.169430, -71.486300)",40
https://www.trailforks.com/trails/chauncy-lake-trail/,Chauncy Lake Trail,Westborough Wildlife Management Area,1 mile,-62 ft,62 ft,"
                     Green rate
                ","(42.298660, -71.611040)",95
https://www.trailforks.com/trails/chaz-s-wicked/,Chaz's Wicked,Batchelor Street Trails,"1,175 ft",,55 ft,"
                     Blue rate
                ","(42.295230, -72.502090)",55
https://www.trailforks.com/trails/cheater-line/,Cheater Line,Collins Woodlot / Kettle Holes,157 ft,,,"
                     Green rate
                ","(41.610920, -70.613940)",45
https://www.trailforks.com/trails/chebacco-woods-entrance/,Chebacco Woods Entrance,Gordon College,988 ft,,11 ft,"
                     Green rate
                ","(42.600510, -70.821450)",75
https://www.trailforks.com/trails/checamo-path/,Checamo Path,West Tisbury,"4,629 ft",-2 ft,21 ft,"
                     Green rate
                ","(41.419310, -70.623690)",60
https://www.trailforks.com/trails/cheese-wedge/,Cheese Wedge,Tompson Street Reservation,"2,267 ft",-21 ft,83 ft,"
                    Red Maple Swamp                ","(42.627150, -70.717480)",100
https://www.trailforks.com/trails/cheney-pond-connector/,Cheney Pond Connector,Rocky Woods,537 ft,-4 ft,12 ft,"
                     Blue rate
                ","(42.207460, -71.292300)",30
https://www.trailforks.com/trails/cheney-pond-trail/,Cheney Pond Trail,Rocky Woods,"5,018 ft",-83 ft,88 ft,"
                     White rate
                ","(42.198410, -71.289080)",25
https://www.trailforks.com/trails/cherry-pond/,Cherry Pond,Myles Standish State Forest,"3,468 ft",-29 ft,43 ft,"
                     Blue rate
                ","(41.877600, -70.664730)",5
https://www.trailforks.com/trails/cherry-pond-lane/,Cherry Pond Lane,Myles Standish State Forest,1 mile,-146 ft,122 ft,"
                     Green rate
                ","(41.878860, -70.661800)",40
https://www.trailforks.com/trails/chery-pond-link/,Chery Pond Link,Myles Standish State Forest,"1,171 ft",-33 ft,44 ft,"
                     Blue rate
                ","(41.878660, -70.658970)",55
https://www.trailforks.com/trails/cheryl-s-climb-313899/,Cheryl's Climb,Noon Hill & Shattuck Reservation,"1,667 ft",,126 ft,"
                     Blue rate
                ","(42.158860, -71.305690)",95
https://www.trailforks.com/trails/cheryl-s-climb-ii-315064/,Cheryl's Climb II,Noon Hill & Shattuck Reservation,"1,234 ft",,52 ft,"
                     Blue rate
                ","(42.160250, -71.314420)",70
https://www.trailforks.com/trails/cheshire-harbor-trail/,Cheshire Harbor Trail,Greylock Glen Multi-Use Trail System,1 mile,"-1,048 ft",,"
                     Blue rate
                ","(42.632670, -73.173770)",55
https://www.trailforks.com/trails/chesterfield-rd-entrance/,Chesterfield Rd Entrance,Sawmill Hills,"1,457 ft",-3 ft,43 ft,"
                     Green rate
                ","(42.339980, -72.720310)",35
https://www.trailforks.com/trails/chestnut-glen-access/,Chestnut Glen Access,Ames Nowell State Park,"1,643 ft",-12 ft,57 ft,"
                     White rate
                ","(42.122980, -70.991980)",60
https://www.trailforks.com/trails/chestnut-hill-north/,Chestnut Hill North,Williams Barn and Sehaug Woods,"1,830 ft",-181 ft,13 ft,"
                    Water Tower Downhill                ","(42.621420, -71.553850)",20
https://www.trailforks.com/trails/chestnut-hill-south/,Chestnut Hill South,Williams Barn and Sehaug Woods,"1,730 ft",-156 ft,,"
                     Blue rate
                ","(42.621420, -71.553850)",15
https://www.trailforks.com/trails/chestnut-loop-102765/,Chestnut Loop,Leominster State Forest,"2,376 ft",-51 ft,49 ft,"
                     Blue rate
                ","(42.513690, -71.833360)",80
https://www.trailforks.com/trails/chestnut-loop-access/,Chestnut Loop Access,Leominster State Forest,574 ft,,15 ft,"
                     Blue rate
                ","(42.515100, -71.833220)",100
https://www.trailforks.com/trails/chestnut-run-path/,Chestnut Run Path,Blue Hills Reservation,"3,151 ft",-83 ft,77 ft,"
                     Blue rate
                ","(42.220010, -71.090780)",25
https://www.trailforks.com/trails/chestnut-str-access-rd/,Chestnut Str Access Rd,Ames Nowell State Park,"3,465 ft",-44 ft,,"
                     White rate
                ","(42.126280, -70.992810)",25
