created,username_URL,username,username2,State,city,trails,trails_URL,trails_URL3,trails4,trails_URL5,trails6,dist
Mar 2,https://www.trailforks.com/profile/stando/,stando,stando,OR,Portland,,,,,,,23 miles
Mar 2,https://www.trailforks.com/profile/CJSutterer/,CJSutterer,CJSutterer,IL,Carbondale,,,,,,,"2,595 ft"
Mar 2,https://www.trailforks.com/profile/cyclingforlongevity/,cyclingforlongevity,cyclingforlongevity,CO,Fort Collins,"  Hobbit Connection 2,
Hobbit Connection 2,
Prospect Ponds",https://www.trailforks.com/ridelog/view/22434359/achievements/,https://www.trailforks.com/trails/hobbit-connection-2/,Hobbit Connection 2,https://www.trailforks.com/trails/hobbit-connection-2/,Hobbit Connection 2,21 miles
Mar 2,https://www.trailforks.com/profile/MTrout/,MTrout,MTrout,TX,San Antonio,"Leon Creek Greenway (S), Treachery Trail",https://www.trailforks.com/trails/leon-creek-greenway-s/,https://www.trailforks.com/trails/treachery-trail-242512/,Treachery Trail,,,11 miles
Mar 2,https://www.trailforks.com/profile/Jonmoulton/,Jonmoulton,Jonmoulton,CT,Colchester,"  connector,
Day Pond Brook Falls,
Day Pond Brook Falls,
Salmon River Trail South Loop",https://www.trailforks.com/ridelog/view/22437317/achievements/,https://www.trailforks.com/trails/connector-185442/,connector,https://www.trailforks.com/trails/day-pond-brook-falls/,Day Pond Brook Falls,4 miles
Mar 2,https://www.trailforks.com/profile/Charr3121/,Charr3121,Charr3121,AZ,Glendale,,,,,,,21 miles
Mar 2,https://www.trailforks.com/profile/Roguenurse/,Roguenurse,Roguenurse,NV,Las Vegas,"  Badger Pass,
Badger Pass Climb,
Connector (to White Rhino),
White Rhino (Latenight connector),
Latenight Cut,
Middle Fork Trail,
Connector,
Beginner Loop",https://www.trailforks.com/ridelog/view/22435944/achievements/,https://www.trailforks.com/trails/badger-pass/,Badger Pass,https://www.trailforks.com/trails/badger-pass-climb/,Badger Pass Climb,13 miles
Mar 2,https://www.trailforks.com/profile/Beto-Johnson/,Beto-Johnson,Beto-Johnson,CA,Napa,,,,,,,5 miles
Mar 2,https://www.trailforks.com/profile/BikeMikeBikeMike/,BikeMikeBikeMike,BikeMikeBikeMike,UT,Moab,  Falcon Flow,https://www.trailforks.com/ridelog/view/22435343/achievements/,https://www.trailforks.com/trails/falcon-flow/,Falcon Flow,,,12 miles
Mar 2,https://www.trailforks.com/profile/cgreaseman/,cgreaseman,cgreaseman,UT,Salt Lake City,,,,,,,19 miles
Mar 2,https://www.trailforks.com/profile/dietrijg/,dietrijg,dietrijg,KY,Covington,,,,,,,12 miles
Mar 2,https://www.trailforks.com/profile/ncolavolpe/,ncolavolpe,ncolavolpe,CO,Durango,Fairgrounds Rd Connect N,https://www.trailforks.com/trails/fairgrounds-rd-connect-n/,,,,,47 miles
Mar 2,https://www.trailforks.com/profile/Coletroll/,Coletroll,Coletroll,NV,Carson City,Clear Creek Trail,https://www.trailforks.com/trails/clear-creek-trail/,,,,,9 miles
Mar 2,https://www.trailforks.com/profile/Rawk73/,Rawk73,Rawk73,AZ,Fountain Hills,"  Cinch,
Pemberton ST,
Tonto Tank,
Lower Shallmo Wash Trail,
Access Road,
Technical Loop,
Pemberton (E),
Delsie Trail,
Bluff,
Lower Shallmo Wash Trail,
 ... ",https://www.trailforks.com/ridelog/view/22442252/achievements/,https://www.trailforks.com/trails/cinch/,Cinch,https://www.trailforks.com/trails/pemberton-st/,Pemberton ST,36 miles
Mar 2,https://www.trailforks.com/profile/IslandBiking2020/,IslandBiking2020,IslandBiking2020,BC,Nanaimo,"  Connector,
Lower Binx,
Binx,
Shenanigans,
Access road power lines,
Legalize it (Arbot road segment),
Legalize it (Arbot road segment),
Connector",https://www.trailforks.com/ridelog/view/22434447/achievements/,https://www.trailforks.com/trails/connector-277949/,Connector,https://www.trailforks.com/trails/lower-binx/,Lower Binx,3 miles
Mar 2,https://www.trailforks.com/profile/rkymtnrider/,rkymtnrider,rkymtnrider,CO,Glenwood Springs,Red Canyon Rd. (CR 115),https://www.trailforks.com/trails/red-canyon-rd--cr-115/,,,,,17 miles
Mar 2,https://www.trailforks.com/profile/Pedalman/,Pedalman,Pedalman,CO,Evergreen,"Elk Ridge, Meadow View, Meadow View, Meadow View",https://www.trailforks.com/trails/elk-ridge-13137/,https://www.trailforks.com/trails/meadow-view-13151/,Meadow View,https://www.trailforks.com/trails/meadow-view-13152/,Meadow View,14 miles
Mar 2,https://www.trailforks.com/profile/mstoehr/,mstoehr,mstoehr,BC,Sidney,  Lochside Trail - Swartz Bay Connector,https://www.trailforks.com/ridelog/view/22435181/achievements/,https://www.trailforks.com/trails/lochside-trail-swartz-bay-connector/,Lochside Trail - Swartz Bay Connector,,,18 miles
Mar 2,https://www.trailforks.com/profile/Kramee4/,Kramee4,Kramee4,CO,Steamboat Springs,,,,,,,"1,749 ft"
Mar 2,https://www.trailforks.com/profile/4asmith/,4asmith,4asmith,WA,Sequim,,,,,,,7 miles
Mar 2,https://www.trailforks.com/profile/jzdyrko/,jzdyrko,jzdyrko,CA,American Canyon,"Creekside/Valley Trail, Newell Open Space Loop Trail",https://www.trailforks.com/trails/creekside-valley-trail/,https://www.trailforks.com/trails/newell-open-space-loop-trail/,Newell Open Space Loop Trail,,,6 miles
Mar 2,https://www.trailforks.com/profile/SheldonSouray/,SheldonSouray,SheldonSouray,NV,Las Vegas,"  David Flowie,
Bad Bunny,
East Calico,
Santeria East,
Tunneling into Red Rock,
The Bronc,
Around Summit Club",https://www.trailforks.com/ridelog/view/22437710/achievements/,https://www.trailforks.com/trails/david-flowie/,David Flowie,https://www.trailforks.com/trails/bad-bunny/,Bad Bunny,21 miles
Mar 2,https://www.trailforks.com/profile/ChknFrdPnda/,ChknFrdPnda,ChknFrdPnda,VA,Fairfax,,,,,,,30 miles
Mar 2,https://www.trailforks.com/profile/Fuzzy01/,Fuzzy01,Fuzzy01,BC,West Kelowna,"Sideshow Bob, Swamp Donkey, The Elevator",https://www.trailforks.com/trails/sideshow-bob-27814/,https://www.trailforks.com/trails/swamp-donkey-28104/,Swamp Donkey,https://www.trailforks.com/trails/the-elevator-37632/,The Elevator,9 miles
Mar 2,https://www.trailforks.com/profile/Scottyyyj/,Scottyyyj,Scottyyyj,CA,Fresno,,,,,,,17 miles
Mar 2,https://www.trailforks.com/profile/Scool191/,Scool191,Scool191,FL,Mount Dora,"Skillsville,
Bridge Loop,
Gravity Destroyer,
Florida Flow,
Big Dipper,
Tacoma Bridge,
Harry Scary,
Harry Scary,
Florida Flow,
Extra Crispy,
 ... ",https://www.trailforks.com/trails/skillsville/,https://www.trailforks.com/trails/bridge-loop-77495/,Bridge Loop,https://www.trailforks.com/trails/gravity-destroyer/,Gravity Destroyer,9 miles
Mar 2,https://www.trailforks.com/profile/TylerG96/,TylerG96,TylerG96,TX,Austin,"  Travis Country Access,
Over the Falls,
Travis Country Access",https://www.trailforks.com/ridelog/view/22432068/achievements/,https://www.trailforks.com/trails/travis-country-access/,Travis Country Access,https://www.trailforks.com/trails/over-the-falls-74216/,Over the Falls,4 miles
Mar 2,https://www.trailforks.com/profile/Chorney/,Chorney,Chorney,AB,Edmonton,  141 St MUP - Jagare Ridge,https://www.trailforks.com/ridelog/view/22433152/achievements/,https://www.trailforks.com/trails/141-st-mup-jagare-ridge/,141 St MUP - Jagare Ridge,,,19 miles
Mar 2,https://www.trailforks.com/profile/Stevepks/,Stevepks,Stevepks,TX,Fort Worth,"  Full Face,
Full Face,
Thunder Road Connector,
Thunder Road Connector,
Full Face,
Thunder Road Connector,
Full Face,
Thunder Road Connector,
Thunder Road Connector,
Thunder Road Connector,
 ... ",https://www.trailforks.com/ridelog/view/22433812/achievements/,https://www.trailforks.com/trails/full-face-317815/,Full Face,https://www.trailforks.com/trails/full-face-317815/,Full Face,4 miles
Mar 2,https://www.trailforks.com/profile/WelderSF/,WelderSF,WelderSF,CA,Nevada City,,,,,,,591 ft
Mar 2,https://www.trailforks.com/profile/huntindirty/,huntindirty,huntindirty,WA,Bellingham,,,,,,,3 miles
Mar 2,https://www.trailforks.com/profile/Okan4xFKr/,Okan4xFKr,Okan4xFKr,NV,Las Vegas,"  David Flowie,
Bad Bunny,
East Calico,
Santeria East,
Tunneling into Red Rock,
The Bronc,
Around Summit Club",https://www.trailforks.com/ridelog/view/22437560/achievements/,https://www.trailforks.com/trails/david-flowie/,David Flowie,https://www.trailforks.com/trails/bad-bunny/,Bad Bunny,19 miles
Mar 2,https://www.trailforks.com/profile/cchambers21/,cchambers21,cchambers21,IL,Zion,,,,,,,17 miles
Mar 2,https://www.trailforks.com/profile/bearik/,bearik,bearik,ON,Kenora,,,,,,,17 miles
Mar 2,https://www.trailforks.com/profile/Rayjayrides/,Rayjayrides,Rayjayrides,NC,Bent Creek,"  Ledford Branch Road,
Northern Boundary Road 485,
Little Hickory Top,
Boyd Branch",https://www.trailforks.com/ridelog/view/22432087/achievements/,https://www.trailforks.com/trails/ledford-branch-road/,Ledford Branch Road,https://www.trailforks.com/trails/northern-boundary-road-485/,Northern Boundary Road 485,9 miles
Mar 2,https://www.trailforks.com/profile/sniderc/,sniderc,sniderc,OR,Springfield,,,,,,,20 miles
Mar 2,https://www.trailforks.com/profile/Smoakie976/,Smoakie976,Smoakie976,FL,Mount Dora,"  Bridge Loop,
Skillsville,
Gravity Destroyer,
Florida Flow,
Big Dipper,
Little Dipper,
Tacoma Bridge,
Extra Crispy,
Extra Crispy,
Hamdog Hill,
 ... ",https://www.trailforks.com/ridelog/view/22431460/achievements/,https://www.trailforks.com/trails/bridge-loop-77495/,Bridge Loop,https://www.trailforks.com/trails/skillsville/,Skillsville,6 miles
Mar 2,https://www.trailforks.com/profile/robstirling/,robstirling,robstirling,WA,East Wenatchee,Apple Capital RLT (Eastmont),https://www.trailforks.com/trails/apple-capital-rlt-eastmont/,,,,,42 miles
Mar 2,https://www.trailforks.com/profile/caitleavitt/,caitleavitt,caitleavitt,BC,North Vancouver,"  Upper Severed,
Upper John Deer,
John Deer,
Bridle Path - Socially Distant Descent,
Empress Bypass",https://www.trailforks.com/ridelog/view/22435027/achievements/,https://www.trailforks.com/trails/upper-severed/,Upper Severed,https://www.trailforks.com/trails/upper-john-deer/,Upper John Deer,10 miles
Mar 2,https://www.trailforks.com/profile/Ddrewb28/,Ddrewb28,Ddrewb28,WA,Seattle,,,,,,,13 miles
Mar 2,https://www.trailforks.com/profile/BlaineHTLT/,BlaineHTLT,BlaineHTLT,TX,Austin,,,,,,,4 miles
Mar 2,https://www.trailforks.com/profile/DerMich/,DerMich,DerMich,CA,Aliso Viejo,"  Rock-It,
Cholla,
Lynx,
Cholla,
Lynx",https://www.trailforks.com/ridelog/view/22434969/achievements/,https://www.trailforks.com/trails/rockit-29539/,Rock-It,https://www.trailforks.com/trails/cholla/,Cholla,7 miles
Mar 2,https://www.trailforks.com/profile/TimD59/,TimD59,TimD59,OK,Ardmore,,,,,,,15 miles
Mar 2,https://www.trailforks.com/profile/Connelsm/,Connelsm,Connelsm,NC,Concord,,,,,,,10 miles
Mar 2,https://www.trailforks.com/profile/TMaria/,TMaria,TMaria,BC,Parksville,"Coquihalla (Jughead Alt Entrance), Con2, The Link",https://www.trailforks.com/trails/coquihalla-jughead-alt-entrance/,https://www.trailforks.com/trails/con2/,Con2,https://www.trailforks.com/trails/the-link/,The Link,6 miles
Mar 2,https://www.trailforks.com/profile/ritterj620/,ritterj620,ritterj620,NV,Henderson,,,,,,,15 miles
Mar 2,https://www.trailforks.com/profile/Fccoryan/,Fccoryan,Fccoryan,CO,Fort Collins,Hobbit Connection 2,https://www.trailforks.com/trails/hobbit-connection-2/,,,,,9 miles
Mar 2,https://www.trailforks.com/profile/SEStrain/,SEStrain,SEStrain,AZ,Kingman,,,,,,,14 miles
Mar 2,https://www.trailforks.com/profile/jbs400ex/,jbs400ex,jbs400ex,ID,Post Falls,,,,,,,30 miles
Mar 2,https://www.trailforks.com/profile/Wolf67/,Wolf67,Wolf67,SD,Rapid City,,,,,,,30 miles
Mar 2,https://www.trailforks.com/profile/LostBuckeye/,LostBuckeye,LostBuckeye,AZ,Mesa,"  Mountain Wash Trail,
Magic Mountain",https://www.trailforks.com/ridelog/view/22433309/achievements/,https://www.trailforks.com/trails/mountain-wash-trail/,Mountain Wash Trail,https://www.trailforks.com/trails/magic-mountain/,Magic Mountain,11 miles
Mar 2,https://www.trailforks.com/profile/kellygirl71/,kellygirl71,kellygirl71,AZ,Sedona,"  Teacup,
Soldier Pass,
Soldiers Pass Rd. Connector,
Sunrise Trail,
Soldiers Pass Rd. to Sunrise Trail Connector",https://www.trailforks.com/ridelog/view/22433260/achievements/,https://www.trailforks.com/trails/teacup/,Teacup,https://www.trailforks.com/trails/soldier-pass-15036/,Soldier Pass,5 miles
