created,username_URL,username,username2,State,city,trails,trails_URL,trails_URL3,trails4,trails_URL5,trails6,dist
Mar 3,https://www.trailforks.com/profile/Heiheiharold/,Heiheiharold,Heiheiharold,NV,Las Vegas,"  Step Mom Up,
Kona,
Kona,
Saguaro,
Man with a Van,
Benchmark,
Perma Grin",https://www.trailforks.com/ridelog/view/22440343/achievements/,https://www.trailforks.com/trails/step-mom-up/,Step Mom Up,https://www.trailforks.com/trails/kona-108653/,Kona,10 miles
Mar 2,https://www.trailforks.com/profile/Kbshep86/,Kbshep86,Kbshep86,TX,Missouri City,"  Later Gator,
Grass Connector,
Swamp Thing,
Later Gator,
Bangarang",https://www.trailforks.com/ridelog/view/22435361/achievements/,https://www.trailforks.com/trails/later-gator-335631/,Later Gator,https://www.trailforks.com/trails/grass-connector-242831/,Grass Connector,5 miles
Mar 3,https://www.trailforks.com/profile/gonzajon6998/,gonzajon6998,gonzajon6998,OR,Corvallis,Midge Cramer Path,https://www.trailforks.com/trails/midge-cramer-path/,,,,,8 miles
Mar 2,https://www.trailforks.com/profile/Condor2/,Condor2,Condor2,UT,Park City,"  Rambler,
Matt's Flat,
Matt's Flat,
Matt's Flat,
Matt's Flat,
Rambler,
Cammy's,
Cammy's,
Cammy Connector,
Matt's Flat,
 ... ",https://www.trailforks.com/ridelog/view/22438042/achievements/,https://www.trailforks.com/trails/rambler-11589/,Rambler,https://www.trailforks.com/trails/matt-s-flat/,Matt's Flat,6 miles
Mar 2,https://www.trailforks.com/profile/atenxiaz/,atenxiaz,atenxiaz,IA,Council Buffs,,,,,,,10 miles
Mar 3,https://www.trailforks.com/profile/lilmsmayshine/,lilmsmayshine,lilmsmayshine,CA,Carlsbad,"  Horned Lizard,
Switchbacks",https://www.trailforks.com/ridelog/view/22440517/achievements/,https://www.trailforks.com/trails/horned-lizard/,Horned Lizard,https://www.trailforks.com/trails/switchbacks/,Switchbacks,6 miles
Mar 3,https://www.trailforks.com/profile/AmberAle1/,AmberAle1,AmberAle1,CA,Riverside,,,,,,,9 miles
Mar 2,https://www.trailforks.com/profile/rroswelljr/,rroswelljr,rroswelljr,FL,West Palm Beach,"  Pond Connector,
Pond Loop,
Pond Loop,
Pond Loop,
Pond Loop,
Pinehurst MTB Trail,
Pinehurst MTB Trail,
Truck Stop,
Truck Stop,
Truck Stop,
 ... ",https://www.trailforks.com/ridelog/view/22436939/achievements/,https://www.trailforks.com/trails/pond-connector-381880/,Pond Connector,https://www.trailforks.com/trails/pond-loop-205363/,Pond Loop,17 miles
Mar 2,https://www.trailforks.com/profile/Griordan/,Griordan,Griordan,AZ,Prescott,"  Happy Ending,
Happy Ending,
Side Kick",https://www.trailforks.com/ridelog/view/22439726/achievements/,https://www.trailforks.com/trails/happy-ending-110790/,Happy Ending,https://www.trailforks.com/trails/happy-ending-110790/,Happy Ending,11 miles
Mar 3,https://www.trailforks.com/profile/Deankannier/,Deankannier,Deankannier,CA,Redding,"  Top Of The World Summit From Mary Lake,
Westside to Valparaiso,
Westside Trail Ridge,
RattleSnake",https://www.trailforks.com/ridelog/view/22440755/achievements/,https://www.trailforks.com/trails/top-of-the-world-summit-from-mary-lake/,Top Of The World Summit From Mary Lake,https://www.trailforks.com/trails/westside-to-valparaiso/,Westside to Valparaiso,13 miles
Mar 3,https://www.trailforks.com/profile/Fricker33/,Fricker33,Fricker33,WA,Bellingham,"  Bunny Cutoff,
Ursa Major,
Kaya,
Hop Scotch,
Briar Patch,
Brer Rabbit,
Lost Giants",https://www.trailforks.com/ridelog/view/22440274/achievements/,https://www.trailforks.com/trails/bunny-cutoff/,Bunny Cutoff,https://www.trailforks.com/trails/ursa-major-121640/,Ursa Major,7 miles
Mar 2,https://www.trailforks.com/profile/jchartos/,jchartos,jchartos,AZ,Phoenix,"San Tan, Hedgehog Trail",https://www.trailforks.com/trails/san-tan/,https://www.trailforks.com/trails/hedgehog-trail/,Hedgehog Trail,,,5 miles
Mar 2,https://www.trailforks.com/profile/mikey85051/,mikey85051,mikey85051,TX,San Antonio,"  Mud Creek Loop,
East Mud Creek,
Get Loose,
Dances with Trees,
Blue Loop Cutoff,
Red Trail Connector,
Twisty Trail,
Dam Basin Trail(s),
MA10,
East Mud Creek,
 ... ",https://www.trailforks.com/ridelog/view/22436869/achievements/,https://www.trailforks.com/trails/mud-creek-loop-117988/,Mud Creek Loop,https://www.trailforks.com/trails/east-mud-creek/,East Mud Creek,14 miles
Mar 3,https://www.trailforks.com/profile/turn7/,turn7,turn7,BC,Port Moody,"  Home Run,
Jo-Jo Finn's Green Spectacles,
Stinger,
Climby,
Hett Creek Trail,
Black Dog,
Bert Flinn Loop Trail",https://www.trailforks.com/ridelog/view/22440764/achievements/,https://www.trailforks.com/trails/home-run-33199/,Home Run,https://www.trailforks.com/trails/jojo-finn-s-green-spectacles-112248/,Jo-Jo Finn's Green Spectacles,6 miles
Mar 2,https://www.trailforks.com/profile/Galagos13/,Galagos13,Galagos13,TX,Odessa,"Outer Green Loop,
Alternate Loop 1,
Alternate Loop 1,
North Loop,
Ridge Line,
Ridge Line,
Alternate loop,
Champion,
Champion,
Alternate,
 ... ",https://www.trailforks.com/trails/outer-green-loop/,https://www.trailforks.com/trails/alternate-loop-1-52405/,Alternate Loop 1,https://www.trailforks.com/trails/alternate-loop-1-52405/,Alternate Loop 1,14 miles
Mar 2,https://www.trailforks.com/profile/Cgeorge5555/,Cgeorge5555,Cgeorge5555,MD,Urbana,,,,,,,3 miles
Mar 2,https://www.trailforks.com/profile/adent/,adent,adent,AZ,Prescott,"  348 - Chimbley Water,
346 - Willow Connector,
347,
Tin Trough Springs",https://www.trailforks.com/ridelog/view/22440048/achievements/,https://www.trailforks.com/trails/348-chimbley-water/,348 - Chimbley Water,https://www.trailforks.com/trails/346-willow-connector/,346 - Willow Connector,17 miles
Mar 3,https://www.trailforks.com/profile/Erikpc/,Erikpc,Erikpc,CA,Carlsbad,"  Horned Lizard,
E. La Costa Junipero",https://www.trailforks.com/ridelog/view/22439294/achievements/,https://www.trailforks.com/trails/horned-lizard/,Horned Lizard,https://www.trailforks.com/trails/e-la-costa-junipero/,E. La Costa Junipero,4 miles
Mar 2,https://www.trailforks.com/profile/bdunning/,bdunning,bdunning,CO,Windsor,,,,,,,5 miles
Mar 2,https://www.trailforks.com/profile/TheU/,TheU,TheU,FL,Hialeah,"Key Biscayne - 2,
Key Biscayne - 2,
Key Biscayne - 2,
Key Biscayne - 2,
Key Biscayne - 1,
Key Biscayne - 1,
Key Biscayne - 1,
Golden Gate (Advanced Section),
Golden Gate,
Golden Gate (Advanced Section),
 ... ",https://www.trailforks.com/trails/key-biscayne-2/,https://www.trailforks.com/trails/key-biscayne-2/,Key Biscayne - 2,https://www.trailforks.com/trails/key-biscayne-2/,Key Biscayne - 2,8 miles
Mar 2,https://www.trailforks.com/profile/tlaity/,tlaity,tlaity,UT,Hurricane,,,,,,,3 miles
Mar 2,https://www.trailforks.com/profile/LivingAStoutLife/,LivingAStoutLife,LivingAStoutLife,AZ,Sedona,  Aerie (Upper),https://www.trailforks.com/ridelog/view/22443059/achievements/,https://www.trailforks.com/trails/aerie-upper/,Aerie (Upper),,,5 miles
Mar 2,https://www.trailforks.com/profile/osucantwell/,osucantwell,osucantwell,NC,Gastonia,"Lake Loop Out, Laurel Hill Loop Out",https://www.trailforks.com/trails/lake-loop-out/,https://www.trailforks.com/trails/laurel-hill-loop-out/,Laurel Hill Loop Out,,,7 miles
Mar 2,https://www.trailforks.com/profile/feldybikes/,feldybikes,feldybikes,CO,Morrison,,,,,,,10 miles
Mar 2,https://www.trailforks.com/profile/Blackace21/,Blackace21,Blackace21,PA,Philadelphia,,,,,,,15 miles
Mar 3,https://www.trailforks.com/profile/Penut/,Penut,Penut,BC,Kelowna,"  Glenmore Ridge Trail,
CR Drop Out,
CR Drop Out,
Balsam Root Connection,
Lookout Access,
Shale Trail,
Shale Trail Direct",https://www.trailforks.com/ridelog/view/22441250/achievements/,https://www.trailforks.com/trails/glenmore-ridge-trail/,Glenmore Ridge Trail,https://www.trailforks.com/trails/cr-drop-out/,CR Drop Out,7 miles
Mar 3,https://www.trailforks.com/profile/bearstearns/,bearstearns,bearstearns,CA,Woodacre,"  Lower Porcupine Trail,
Upper Porcupine Trail,
Conifer Fire Road,
Willis Evans Trail",https://www.trailforks.com/ridelog/view/22440650/achievements/,https://www.trailforks.com/trails/lower-porcupine-trail/,Lower Porcupine Trail,https://www.trailforks.com/trails/upper-porcupine-trail/,Upper Porcupine Trail,10 miles
Mar 2,https://www.trailforks.com/profile/k-c-burkholder/,k-c-burkholder,k-c-burkholder,AZ,Mesa,"  Fenceline,
Cactus Garden,
Goat,
High Ridge",https://www.trailforks.com/ridelog/view/22439795/achievements/,https://www.trailforks.com/trails/fenceline-15447/,Fenceline,https://www.trailforks.com/trails/cactus-garden/,Cactus Garden,17 miles
Mar 3,https://www.trailforks.com/profile/bryanwurakawa/,bryanwurakawa,bryanwurakawa,WA,Bellevue,,,,,,,17 miles
Mar 2,https://www.trailforks.com/profile/sanwyll/,sanwyll,sanwyll,ON,Milton,"  Revolver (Reloaded!),
The Boundary Trail A,
Revolver (Reloaded!),
Revolver (Reloaded!),
The Rock Wall,
The Stunt trail,
BC Rocks,
Hammerhead Trail,
The Southern Edge,
The Rotweiller Trail,
 ... ",https://www.trailforks.com/ridelog/view/22436054/achievements/,https://www.trailforks.com/trails/revolver-reloaded/,Revolver (Reloaded!),https://www.trailforks.com/trails/the-boundary-trail-a/,The Boundary Trail A,8 miles
Mar 3,https://www.trailforks.com/profile/Nbarby/,Nbarby,Nbarby,BC,Kelowna,"  Glenmore Ridge Trail,
CR Drop Out,
Glenmore Ridge Trail,
CR Drop Out,
Balsam Root Connection,
Lookout Access,
Shale Trail,
Shale Trail Direct",https://www.trailforks.com/ridelog/view/22440600/achievements/,https://www.trailforks.com/trails/glenmore-ridge-trail/,Glenmore Ridge Trail,https://www.trailforks.com/trails/cr-drop-out/,CR Drop Out,7 miles
Mar 2,https://www.trailforks.com/profile/like2mtbaz/,like2mtbaz,like2mtbaz,AZ,Prescott,"  348 - Chimbley Water,
350 - Surprise Springs,
348 - Chimbley Water,
347",https://www.trailforks.com/ridelog/view/22438315/achievements/,https://www.trailforks.com/trails/348-chimbley-water/,348 - Chimbley Water,https://www.trailforks.com/trails/350-surprise-springs/,350 - Surprise Springs,13 miles
Mar 3,https://www.trailforks.com/profile/dre2k/,dre2k,dre2k,CA,Auburn,"  Manzanita trail,
Flood Road Trail,
Upper Stage Coach Trail,
Tinkers Cut Off Trail",https://www.trailforks.com/ridelog/view/22442342/achievements/,https://www.trailforks.com/trails/manzanita-trail/,Manzanita trail,https://www.trailforks.com/trails/flood-road-trail/,Flood Road Trail,9 miles
Mar 3,https://www.trailforks.com/profile/JLura/,JLura,JLura,CA,Mariposa,"  Board Meeting,
Gold Rush",https://www.trailforks.com/ridelog/view/22748629/achievements/,https://www.trailforks.com/trails/board-meeting/,Board Meeting,https://www.trailforks.com/trails/gold-rush-324030/,Gold Rush,7 miles
Mar 2,https://www.trailforks.com/profile/Dyotda/,Dyotda,Dyotda,NC,Mills River,Turkey Pen Rd,https://www.trailforks.com/trails/turkey-pen-rd/,,,,,10 miles
Mar 2,https://www.trailforks.com/profile/hollywoood/,hollywoood,hollywoood,ON,Pretty River Valley,"Russ McConnell Side Trail, 540 DH, John Haigh Side Trail East",https://www.trailforks.com/trails/russ-mcconnell-side-trail/,https://www.trailforks.com/trails/540-dh/,540 DH,https://www.trailforks.com/trails/john-haigh-side-trail-east/,John Haigh Side Trail East,7 miles
Mar 3,https://www.trailforks.com/profile/waltchui/,waltchui,waltchui,CA,Pleasanton,"Cattail Pond, Cattail Pond (West), Meadowlark Loop, Winery Loop",https://www.trailforks.com/trails/cattail-pond/,https://www.trailforks.com/trails/cattail-pond-west/,Cattail Pond (West),https://www.trailforks.com/trails/meadowlark-loop-305205/,Meadowlark Loop,28 miles
Mar 3,https://www.trailforks.com/profile/corky24/,corky24,corky24,BC,Nanaimo,,,,,,,1 mile
Mar 2,https://www.trailforks.com/profile/Nicksand5/,Nicksand5,Nicksand5,CO,Grand Junction,"  Pet E Kes,
Holy Cross,
Holy Bucket,
Clunker,
Ali Alley,
Curts Lane (S),
Curt's Down,
Curts Lane",https://www.trailforks.com/ridelog/view/22438148/achievements/,https://www.trailforks.com/trails/pet-e-kes/,Pet E Kes,https://www.trailforks.com/trails/holy-cross/,Holy Cross,8 miles
Mar 2,https://www.trailforks.com/profile/SGMiami/,SGMiami,SGMiami,FL,Hialeah,"  Key Biscayne - 2,
Key Biscayne - 1,
Key Biscayne - 2,
Key Biscayne - 1,
Key Biscayne - 2,
Key Biscayne - 1,
Golden Gate (Advanced Section),
Golden Gate (Advanced Section),
Golden Gate,
Golden Gate (Advanced Section),
 ... ",https://www.trailforks.com/ridelog/view/22435363/achievements/,https://www.trailforks.com/trails/key-biscayne-2/,Key Biscayne - 2,https://www.trailforks.com/trails/key-biscayne-1/,Key Biscayne - 1,14 miles
Mar 2,https://www.trailforks.com/profile/jkramer1/,jkramer1,jkramer1,NM,Albuquerque,"  Foo Drop,
Fooville Loopy,
Foo Drop,
Trail 365A (Upper),
Three Sisters,
Trail 365A (Upper),
Embudo (193),
Trail 365A (Upper),
Powerline,
Trail 400,
 ... ",https://www.trailforks.com/ridelog/view/22439668/achievements/,https://www.trailforks.com/trails/foo-drop/,Foo Drop,https://www.trailforks.com/trails/fooville-loopy/,Fooville Loopy,11 miles
Mar 2,https://www.trailforks.com/profile/porkryne/,porkryne,porkryne,AL,Huntsville,,,,,,,13 miles
Mar 2,https://www.trailforks.com/profile/Yorty798/,Yorty798,Yorty798,AZ,Mesa,"Scorpion, Scorpion Alley, Jumping Jacks Cut",https://www.trailforks.com/trails/scorpion-158778/,https://www.trailforks.com/trails/scorpion-alley/,Scorpion Alley,https://www.trailforks.com/trails/jumping-jacks-cut/,Jumping Jacks Cut,6 miles
Mar 2,https://www.trailforks.com/profile/DGM12/,DGM12,DGM12,MB,Brandon,,,,,,,7 miles
Mar 2,https://www.trailforks.com/profile/Knappy/,Knappy,Knappy,MO,St. Charles,"  Hamburg/Lost Valley Connector,
Lost Valley Cut-Off,
Hamburg Connector",https://www.trailforks.com/ridelog/view/22462366/achievements/,https://www.trailforks.com/trails/hamburg-lost-valley-connector/,Hamburg/Lost Valley Connector,https://www.trailforks.com/trails/lost-valley-cutoff/,Lost Valley Cut-Off,10 miles
Mar 3,https://www.trailforks.com/profile/matty-mcd/,matty-mcd,matty-mcd,BC,North Vancouver,"  Grand Boulevard Bike Path (Uphill),
Green Necklace - Grand Blvd North",https://www.trailforks.com/ridelog/view/22439732/achievements/,https://www.trailforks.com/trails/grand-boulevard-bike-path-uphill/,Grand Boulevard Bike Path (Uphill),https://www.trailforks.com/trails/green-necklace-grand-blvd-north/,Green Necklace - Grand Blvd North,6 miles
Mar 2,https://www.trailforks.com/profile/chucklikesbikes/,chucklikesbikes,chucklikesbikes,CO,Conifer,"  Owl's Perch,
Owl's Perch,
Owl's Perch Alt.,
Lodge Pole Loop,
Old Ski Run Trail,
Old Ski Run Loop,
Old Ski Run Trail,
Sunny Aspen,
Lodge Pool Loop,
Sunney Aspen,
 ... ",https://www.trailforks.com/ridelog/view/22438092/achievements/,https://www.trailforks.com/trails/owl-s-perch-60445/,Owl's Perch,https://www.trailforks.com/trails/owl-s-perch-94575/,Owl's Perch,5 miles
Mar 2,https://www.trailforks.com/profile/Gsparky/,Gsparky,Gsparky,AZ,Tucson,,,,,,,1 mile
Mar 2,https://www.trailforks.com/profile/Trenton24/,Trenton24,Trenton24,AZ,Prescott,  347,https://www.trailforks.com/ridelog/view/22438981/achievements/,https://www.trailforks.com/trails/347-14664/,347,,,11 miles
Mar 2,https://www.trailforks.com/profile/SmashiusJones/,SmashiusJones,SmashiusJones,OH,Dayton,,,,,,,1 mile
Mar 2,https://www.trailforks.com/profile/rogwill990/,rogwill990,rogwill990,KS,Lawrence,,,,,,,14 miles
Mar 3,https://www.trailforks.com/profile/Nschlagh/,Nschlagh,Nschlagh,CA,San Diego,"  Rim Trail Connector,
E-Ticket (Upper),
E-Ticket (Lower),
S-Curves,
SD Aqueduct Service Road,
Calle de Vida",https://www.trailforks.com/ridelog/view/22439180/achievements/,https://www.trailforks.com/trails/rim-trail-connector/,Rim Trail Connector,https://www.trailforks.com/trails/eticket-upper/,E-Ticket (Upper),5 miles
Mar 2,https://www.trailforks.com/profile/jkicks15/,jkicks15,jkicks15,NC,Flat Rock,,,,,,,25 miles
Mar 2,https://www.trailforks.com/profile/bgfthntr/,bgfthntr,bgfthntr,NY,Queensbury,,,,,,,5 miles
Mar 3,https://www.trailforks.com/profile/thomaswbrown85/,thomaswbrown85,thomaswbrown85,OR,Beaverton,,,,,,,19 miles
Mar 3,https://www.trailforks.com/profile/Egranados4/,Egranados4,Egranados4,CA,Loma Linda,"  Lower Scott Canyon,
Scott Canyon,
Scott Ridge,
Razor Ridge,
Razor Ridge (climb bypass 2),
G-Outs,
Upper Scott Canyon,
Roller Coaster (Scott Canyon ALT),
Scott Canyon Wash,
Scott Canyon,
 ... ",https://www.trailforks.com/ridelog/view/22440492/achievements/,https://www.trailforks.com/trails/lower-scott-canyon/,Lower Scott Canyon,https://www.trailforks.com/trails/scott-canyon-411735/,Scott Canyon,5 miles
Mar 2,https://www.trailforks.com/profile/lbrhwc/,lbrhwc,lbrhwc,UT,Orem,"Pump Line, Green Loop, Pump Line",https://www.trailforks.com/trails/pump-line-155041/,https://www.trailforks.com/trails/green-loop-155040/,Green Loop,https://www.trailforks.com/trails/pump-line-155041/,Pump Line,13 miles
Mar 3,https://www.trailforks.com/profile/gnarlytrails/,gnarlytrails,gnarlytrails,CA,El Dorado Hills,,,,,,,7 miles
Mar 2,https://www.trailforks.com/profile/Lmbvt/,Lmbvt,Lmbvt,VT,Barre,#6 Trail,https://www.trailforks.com/trails/6-trail/,,,,,2 miles
Mar 2,https://www.trailforks.com/profile/HoppyRoaster/,HoppyRoaster,HoppyRoaster,NH,Lebanon,"  Creepy Teepee,
Route 10,
Canyon,
Rusty Pathfinder,
Eastline,
Westline,
Rob's Rolldown,
Hemlock,
OSB,
White Heat,
 ... ",https://www.trailforks.com/ridelog/view/22435275/achievements/,https://www.trailforks.com/trails/creepy-teepee-86844/,Creepy Teepee,https://www.trailforks.com/trails/route-10/,Route 10,10 miles
Mar 2,https://www.trailforks.com/profile/9fingeredff/,9fingeredff,9fingeredff,DE,Newark,"PennDel Trail, Creek Road (PennDel), PennDel Trail",https://www.trailforks.com/trails/penndel-trail-207869/,https://www.trailforks.com/trails/creek-road-penndel/,Creek Road (PennDel),https://www.trailforks.com/trails/penndel-trail-207869/,PennDel Trail,10 miles
Mar 3,https://www.trailforks.com/profile/2JZMitch/,2JZMitch,2JZMitch,BC,North Vancouver,"  For The Kids,
Tennis Court Access,
Pennzoil,
Dempsey Ascent,
Warden's Climb,
Expresso,
Lower Expresso,
Pennzoil",https://www.trailforks.com/ridelog/view/22440863/achievements/,https://www.trailforks.com/trails/for-the-kids/,For The Kids,https://www.trailforks.com/trails/tennis-court-access/,Tennis Court Access,7 miles
Mar 2,https://www.trailforks.com/profile/GHOST48/,GHOST48,GHOST48,UT,Springville,,,,,,,17 miles
Mar 3,https://www.trailforks.com/profile/dcritel/,dcritel,dcritel,CA,Fawnskin,,,,,,,15 miles
Mar 2,https://www.trailforks.com/profile/seaotta/,seaotta,seaotta,AZ,Mesa,"  L'Alpe d'Huez,
Iron Goat,
Cactus Nectar,
Cactus Nectar",https://www.trailforks.com/ridelog/view/22438725/achievements/,https://www.trailforks.com/trails/l-alpe-d-huez/,L'Alpe d'Huez,https://www.trailforks.com/trails/iron-goat/,Iron Goat,5 miles
Mar 3,https://www.trailforks.com/profile/Explorer15/,Explorer15,Explorer15,HI,Kailua,"  Sullivan's,
Bottles,
Maunawili Ditch,
Sullivan's",https://www.trailforks.com/ridelog/view/22442458/achievements/,https://www.trailforks.com/trails/sullivan-s/,Sullivan's,https://www.trailforks.com/trails/bottles/,Bottles,6 miles
Mar 2,https://www.trailforks.com/profile/mdm1997/,mdm1997,mdm1997,MB,Brandon,,,,,,,7 miles
Mar 2,https://www.trailforks.com/profile/mpope/,mpope,mpope,ON,Kingston,,,,,,,7 miles
Mar 3,https://www.trailforks.com/profile/Sschelp/,Sschelp,Sschelp,BC,Cumberland,"  Spanker Connector,
Sobo no Michi - Climbing Trail - Lower Section,
Sykes Bridge Access,
Vanilla Climb,
Upper Vanilla,
Lower Vanilla,
Even Lower Vanilla,
Vanilla Bottom,
Trestle,
Rugburn Access,
 ... ",https://www.trailforks.com/ridelog/view/22441059/achievements/,https://www.trailforks.com/trails/spanker-connector/,Spanker Connector,https://www.trailforks.com/trails/sobo-no-michi-climbing-trail-lower-section-267956/,Sobo no Michi - Climbing Trail - Lower Section,9 miles
Mar 2,https://www.trailforks.com/profile/Waltherek/,Waltherek,Waltherek,AR,Bella Vista,Mulligan,https://www.trailforks.com/trails/mulligan-132123/,,,,,5 miles
Mar 3,https://www.trailforks.com/profile/Lasvegas11/,Lasvegas11,Lasvegas11,NV,Reno,"  Path,
Trail 1,
Trail 2,
Upper Connector,
Upper Connector,
Connector 2,
Trail 3,
Connector 1,
Connector 1",https://www.trailforks.com/ridelog/view/22439053/achievements/,https://www.trailforks.com/trails/path-172613/,Path,https://www.trailforks.com/trails/trail-1-171812/,Trail 1,6 miles
Mar 3,https://www.trailforks.com/profile/Mattcf55/,Mattcf55,Mattcf55,WA,Renton,"  Silkworm,
Quarantine,
Quarantine,
Quarantine,
Quarantine,
Quarantine,
Quarantine,
GlowWorm,
Tapeworm,
Tapeworm,
 ... ",https://www.trailforks.com/ridelog/view/22440099/achievements/,https://www.trailforks.com/trails/silkworm/,Silkworm,https://www.trailforks.com/trails/quarantine-293465/,Quarantine,4 miles
Mar 2,https://www.trailforks.com/profile/summers8288/,summers8288,summers8288,MT,Bozeman,,,,,,,4 miles
Mar 2,https://www.trailforks.com/profile/Chris-from-Oz/,Chris-from-Oz,Chris-from-Oz,AR,Bella Vista,"  Shock & Awe,
Up Hill Both Ways Main Connector,
Return Trail,
Air-Raid,
Return Trail,
Up Hill Both Ways Main Connector,
Shock & Awe,
Air-Raid,
Air-Raid,
Shock & Awe,
 ... ",https://www.trailforks.com/ridelog/view/22436564/achievements/,https://www.trailforks.com/trails/shock--awe/,Shock & Awe,https://www.trailforks.com/trails/up-hill-both-ways-main-connector/,Up Hill Both Ways Main Connector,5 miles
Mar 3,https://www.trailforks.com/profile/AndresEnri/,AndresEnri,AndresEnri,CA,Malibu,  Sin Nombre,https://www.trailforks.com/ridelog/view/22440262/achievements/,https://www.trailforks.com/trails/sin-nombre-92302/,Sin Nombre,,,16 miles
Mar 2,https://www.trailforks.com/profile/Dave-Vester/,Dave-Vester,Dave-Vester,ON,Thunder Bay,"Cascades Access 1, Peekaboo, BMX, Crossover",https://www.trailforks.com/trails/cascades-access-1-19009/,https://www.trailforks.com/trails/peekaboo/,Peekaboo,https://www.trailforks.com/trails/bmx/,BMX,5 miles
Mar 2,https://www.trailforks.com/profile/chrisbeard/,chrisbeard,chrisbeard,MD,Gaithersburg,,,,,,,15 miles
Mar 2,https://www.trailforks.com/profile/SFBlueDog/,SFBlueDog,SFBlueDog,NM,Santa Fe,"  Connector,
GBP #12 - #13,
Sphinx Loop East,
Rockin' Angie East,
Elizas Ridge Trail,
Sophie's Spur,
Blue Moon Trail,
Mark's Reach,
Kobe's Cut-Off",https://www.trailforks.com/ridelog/view/22438391/achievements/,https://www.trailforks.com/trails/connector-43538/,Connector,https://www.trailforks.com/trails/gbp-12--13/,GBP #12 - #13,12 miles
Mar 3,https://www.trailforks.com/profile/Sandradee/,Sandradee,Sandradee,BC,Squamish,"  Mamquam River Trails,
Connector,
Dipper Trail",https://www.trailforks.com/ridelog/view/22439172/achievements/,https://www.trailforks.com/trails/mamquam-river-trails/,Mamquam River Trails,https://www.trailforks.com/trails/connector-344424/,Connector,4 miles
Mar 2,https://www.trailforks.com/profile/Kouac/,Kouac,Kouac,QC,Chambly,"  0 - L'Accès,
01 - Le Marais,
02 - L'Itinérante,
02 - L'Itinérante,
03 - L'industriel,
04 - Le Taco,
05 - Les Brutes,
06 - Les Grands Ruisseaux,
07 - L'Autoroute,
08 - La Dis Comme,
 ... ",https://www.trailforks.com/ridelog/view/22435465/achievements/,https://www.trailforks.com/trails/0-l-acces-80437/,0 - L'Accès,https://www.trailforks.com/trails/01-le-marais-387829/,01 - Le Marais,9 miles
Mar 2,https://www.trailforks.com/profile/Kirkulees/,Kirkulees,Kirkulees,NE,Papillion,,,,,,,18 miles
Mar 2,https://www.trailforks.com/profile/Ericholder/,Ericholder,Ericholder,FL,St. Petersburg,,,,,,,20 miles
Mar 2,https://www.trailforks.com/profile/Zigthiessen/,Zigthiessen,Zigthiessen,MB,Winnipeg,"Oak Ridge - Advanced 1, Oak Ridge - Advanced 2",https://www.trailforks.com/trails/oak-ridge-advanced-1/,https://www.trailforks.com/trails/oak-ridge-advanced-2/,Oak Ridge - Advanced 2,,,11 miles
Mar 2,https://www.trailforks.com/profile/MikeWK/,MikeWK,MikeWK,AZ,Phoenix,,,,,,,29 miles
Mar 3,https://www.trailforks.com/profile/highloamsome/,highloamsome,highloamsome,CA,Oakland,"  Connector Sunset to Sinawik,
Big Trees (inner),
Sunset Loop,
Palos Colorados,
Bishop's Walk",https://www.trailforks.com/ridelog/view/22441380/achievements/,https://www.trailforks.com/trails/connector-sunset-to-sinawik/,Connector Sunset to Sinawik,https://www.trailforks.com/trails/big-trees-inner/,Big Trees (inner),13 miles
Mar 3,https://www.trailforks.com/profile/superjoe12/,superjoe12,superjoe12,CA,San Diego,,,,,,,3 miles
Mar 2,https://www.trailforks.com/profile/christaylor123/,christaylor123,christaylor123,AL,Huntsville,,,,,,,10 miles
Mar 3,https://www.trailforks.com/profile/16sg/,16sg,16sg,CA,La Canada Flintridge,"  Catalina Verdugo Trail North,
Sugar Loaf Access,
Cerro Negro Trail,
Ultimate Destination South,
Alpha Motorway,
Conservancy Trail,
Liz's Loop Trail,
Catalina Verdugo Trail South",https://www.trailforks.com/ridelog/view/22441236/achievements/,https://www.trailforks.com/trails/catalina-verdugo-trail-north/,Catalina Verdugo Trail North,https://www.trailforks.com/trails/sugar-loaf-access/,Sugar Loaf Access,8 miles
Mar 2,https://www.trailforks.com/profile/Jhapcook/,Jhapcook,Jhapcook,MA,Belchertown,"Mulligan, Mulligan, Dirt Rail trail",https://www.trailforks.com/trails/mulligan-221007/,https://www.trailforks.com/trails/mulligan-221007/,Mulligan,https://www.trailforks.com/trails/dirt-rail-trail-322613/,Dirt Rail trail,6 miles
Mar 2,https://www.trailforks.com/profile/jeremyrose2234/,jeremyrose2234,jeremyrose2234,AR,Bentonville,"  Blowing Springs Loop,
Back 40 TH",https://www.trailforks.com/ridelog/view/22436457/achievements/,https://www.trailforks.com/trails/blowing-springs-loop-53821/,Blowing Springs Loop,https://www.trailforks.com/trails/back-40-th/,Back 40 TH,5 miles
Mar 2,https://www.trailforks.com/profile/rfXlBA/,rfXlBA,rfXlBA,TX,Cedar Park,"  Brushy Creek Regional Trail,
1/4 Notch,
Bailout,
Bailout,
Double Down,
Picnic Drops,
Brushy Creek Regional Trail",https://www.trailforks.com/ridelog/view/22436922/achievements/,https://www.trailforks.com/trails/brushy-creek-regional-trail-106720/,Brushy Creek Regional Trail,https://www.trailforks.com/trails/1-4-notch/,1/4 Notch,8 miles
