title_URL,title,ridingarea_URL,ridingarea,rating,distance,descent,climb
https://www.trailforks.com/trails/1675/,1-6-7-5,https://www.trailforks.com/region/perkins-woods-37695/,Perkins Woods,0,"1,854 ft",-5 ft,20 ft
https://www.trailforks.com/trails/1c-to-mentzer-conservation-trail-cave-bypass/,1C to Mentzer Conservation Trail (Cave Bypass),https://www.trailforks.com/region/rattlesnake-hill-16140/,Rattlesnake Hill,0,124 ft,-3 ft,
https://www.trailforks.com/trails/1d-to-1c-connector/,1D to 1C Connector,https://www.trailforks.com/region/rattlesnake-hill-16140/,Rattlesnake Hill,0,490 ft,-71 ft,
https://www.trailforks.com/trails/1d-to-1e-connector/,1D to 1E Connector,https://www.trailforks.com/region/rattlesnake-hill-16140/,Rattlesnake Hill,0,619 ft,-2 ft,23 ft
https://www.trailforks.com/trails/1f-connector-trail/,1F Connector Trail,https://www.trailforks.com/region/rattlesnake-hill-16140/,Rattlesnake Hill,0,,,
https://www.trailforks.com/trails/2-anomalies/,2 Anomalies,https://www.trailforks.com/region/puddon-hill-trails/,Puddon Hill Trails,1,"2,622 ft",-173 ft,62 ft
https://www.trailforks.com/trails/2b-to-2c-connector-trail/,2B to 2C Connector Trail,https://www.trailforks.com/region/rattlesnake-hill-16140/,Rattlesnake Hill,0,473 ft,-8 ft,
https://www.trailforks.com/trails/2h-to-1d-trail/,2H to 1D Trail,https://www.trailforks.com/region/rattlesnake-hill-16140/,Rattlesnake Hill,0,281 ft,,5 ft
https://www.trailforks.com/trails/2i-to-2j-trail-rattlesnake-to-boulder-connector/,2I to 2J Trail (Rattlesnake to Boulder Connector),https://www.trailforks.com/region/rattlesnake-hill-16140/,Rattlesnake Hill,0,307 ft,-9 ft,4 ft
https://www.trailforks.com/trails/2j-to-2i-connector/,2J to 2I Connector,https://www.trailforks.com/region/rattlesnake-hill-16140/,Rattlesnake Hill,0,,,
https://www.trailforks.com/trails/2k-to-2g-connector/,2K to 2G Connector,https://www.trailforks.com/region/rattlesnake-hill-16140/,Rattlesnake Hill,0,820 ft,-9 ft,21 ft
https://www.trailforks.com/trails/2nd-bridge-to-bob-horton-loop-connector-trail/,2nd Bridge to Bob Horton Loop Connector Trail,https://www.trailforks.com/region/rattlesnake-hill-16140/,Rattlesnake Hill,0,268 ft,-7 ft,
https://www.trailforks.com/trails/2nd-christmas/,2nd Christmas,https://www.trailforks.com/region/abrams-rock--village-park/,Abrams Rock / Village Park,0,512 ft,-7 ft,12 ft
https://www.trailforks.com/trails/3-gorges-cliff/,3 Gorges Cliff,https://www.trailforks.com/region/catamount-state-forest-14145/,Catamount State Forest,1,1 mile,-370 ft,100 ft
https://www.trailforks.com/trails/09-285693/,09,https://www.trailforks.com/region/boxford-state-forest-29166/,Boxford State Forest,0,"1,946 ft",-2 ft,
https://www.trailforks.com/trails/10-connector-172687/,10 Connector,https://www.trailforks.com/region/landlocked-forest/,Landlocked Forest,1,507 ft,-17 ft,
https://www.trailforks.com/trails/10-features/,10 Features,https://www.trailforks.com/region/harold-campbell-forest-38783/,Harold Campbell Forest,0,"1,312 ft",-32 ft,2 ft
https://www.trailforks.com/trails/10-to-12-crosscut/,10 to 12 Crosscut,https://www.trailforks.com/region/great-brook-farm-state-park-12071/,Great Brook Farm State Park,1,"1,381 ft",,32 ft
https://www.trailforks.com/trails/10th-mountain/,10th Mountain,https://www.trailforks.com/region/northfield-mountain-recreation-and-environmental-center-31338/,Northfield Mountain Recreation and Environmental Center,0,"5,108 ft",,297 ft
https://www.trailforks.com/trails/10th-mountain-213815/,10th Mountain,https://www.trailforks.com/region/northfield-mountain-recreation-and-environmental-center-31338/,Northfield Mountain Recreation and Environmental Center,0,1 mile,-362 ft,
https://www.trailforks.com/trails/11-oclock/,11 OClock,https://www.trailforks.com/region/santuit-pond-44382/,Santuit Pond,0,443 ft,,
https://www.trailforks.com/trails/12-13/,12 - 13,https://www.trailforks.com/region/wompatuck-state-park-14848/,Wompatuck State Park,0,"1,994 ft",-64 ft,48 ft
https://www.trailforks.com/trails/12-to-13/,12 to 13,https://www.trailforks.com/region/noanet-woodlands-16206/,Noanet Woodlands,0,"1,533 ft",-45 ft,89 ft
https://www.trailforks.com/trails/13-14/,13 - 14,https://www.trailforks.com/region/wompatuck-state-park-14848/,Wompatuck State Park,0,500 ft,,29 ft
https://www.trailforks.com/trails/13-to-34/,13 to 34,https://www.trailforks.com/region/noanet-woodlands-16206/,Noanet Woodlands,0,"1,061 ft",-10 ft,19 ft
https://www.trailforks.com/trails/14-37/,14 - 37,https://www.trailforks.com/region/wompatuck-state-park-14848/,Wompatuck State Park,0,211 ft,-10 ft,
https://www.trailforks.com/trails/15-16/,15 - 16,https://www.trailforks.com/region/wompatuck-state-park-14848/,Wompatuck State Park,0,"2,367 ft",-23 ft,68 ft
https://www.trailforks.com/trails/15-to-11/,15 to 11,https://www.trailforks.com/region/noanet-woodlands-16206/,Noanet Woodlands,0,"1,860 ft",-39 ft,39 ft
https://www.trailforks.com/trails/16-35/,16 - 35,https://www.trailforks.com/region/wompatuck-state-park-14848/,Wompatuck State Park,0,583 ft,-3 ft,8 ft
https://www.trailforks.com/trails/16-connector/,16 Connector,https://www.trailforks.com/region/noanet-woodlands-16206/,Noanet Woodlands,0,"1,661 ft",-14 ft,30 ft
https://www.trailforks.com/trails/17-to-44/,17 to 44,https://www.trailforks.com/region/noanet-woodlands-16206/,Noanet Woodlands,0,"1,188 ft",-47 ft,37 ft
