title_URL,title,ridingarea,distance,descent,climb,DifficultyRating,Coordinates,Local_Popularity
https://www.trailforks.com/trails/link-3-128318/,Link 3,Grafton,919 ft,-17 ft,15 ft,"
                     Blue rate
                ","(42.214810, -71.613150)",85
https://www.trailforks.com/trails/link-3-138626/,Link 3,Hassanamesit Woods,345 ft,-31 ft,,"
                     Green rate
                ","(42.180740, -71.668740)",5
https://www.trailforks.com/trails/link-3-127129/,Link 3,Callahan State Park,855 ft,-42 ft,,"
                     Green rate
                ","(42.334720, -71.489780)",45
https://www.trailforks.com/trails/link-3-128317/,Link 3,Warren Brook Watershed,"2,992 ft",-17 ft,194 ft,"
                     Green rate
                ","(42.212300, -71.627640)",65
https://www.trailforks.com/trails/link-3-168407/,Link 3,Ames Nowell State Park,"2,585 ft",-12 ft,47 ft,"
                     Blue rate
                ","(42.123470, -70.985270)",80
https://www.trailforks.com/trails/link-3-127036/,Link 3,Whitehall Conservation Area,"2,912 ft",-45 ft,51 ft,"
                     Green rate
                ","(42.239500, -71.570880)",50
https://www.trailforks.com/trails/link-3-407825/,Link 3,Billerica State Forest,669 ft,,,"
                     Blue rate
                ","(42.581700, -71.299880)",5
https://www.trailforks.com/trails/link-4-126900/,Link 4,Hopkinton State Park,971 ft,-7 ft,28 ft,"
                     Green rate
                ","(42.259390, -71.506390)",90
https://www.trailforks.com/trails/link-4-128264/,Link 4,Westborough Wildlife Management Area,"5,026 ft",-43 ft,73 ft,"
                     Blue rate
                ","(42.295240, -71.633250)",75
https://www.trailforks.com/trails/link-4-128321/,Link 4,Grafton,148 ft,-3 ft,,"
                     Blue rate
                ","(42.215780, -71.614420)",80
https://www.trailforks.com/trails/link-4-127466/,Link 4,Hassanamesit Woods,188 ft,,,"
                     Green rate
                ","(42.170930, -71.654730)",55
https://www.trailforks.com/trails/link-4-127038/,Link 4,Cameron Woods,499 ft,,3 ft,,"(42.231240, -71.560490)",5
https://www.trailforks.com/trails/link-4-168410/,Link 4,Ames Nowell State Park,810 ft,,,"
                     Green rate
                ","(42.110170, -70.985440)",30
https://www.trailforks.com/trails/link-4-407826/,Link 4,Billerica State Forest,171 ft,,,"
                     Green rate
                ","(42.580900, -71.301840)",60
https://www.trailforks.com/trails/link-5/,Link 5,Callahan State Park,40 ft,,3 ft,,"(42.333400, -71.494650)",20
https://www.trailforks.com/trails/link-5-127040/,Link 5,Whitehall State Park,"2,221 ft",-108 ft,11 ft,"
                     Blue rate
                ","(42.226660, -71.559220)",45
https://www.trailforks.com/trails/link-5-126901/,Link 5,Hopkinton State Park,84 ft,-4 ft,,,"(42.260280, -71.506000)",55
https://www.trailforks.com/trails/link-5-128265/,Link 5,Westborough Wildlife Management Area,"3,390 ft",-39 ft,74 ft,,"(42.260280, -71.506000)",55
https://www.trailforks.com/trails/link-5-168413/,Link 5,Ames Nowell State Park,643 ft,-5 ft,19 ft,"
                     Blue rate
                ","(42.124170, -70.996800)",95
https://www.trailforks.com/trails/link-5-407827/,Link 5,Billerica State Forest,371 ft,,,"
                     Green rate
                ","(42.580900, -71.301840)",5
https://www.trailforks.com/trails/link-6/,Link 6,Hopkinton State Park,146 ft,-2 ft,,"
                     Green rate
                ","(42.261150, -71.506530)",5
https://www.trailforks.com/trails/link-6-127041/,Link 6,Whitehall State Park,"1,180 ft",-49 ft,22 ft,"
                     Blue rate
                ","(42.221890, -71.563380)",60
https://www.trailforks.com/trails/link-6-128266/,Link 6,Westborough Wildlife Management Area,972 ft,-23 ft,13 ft,"
                     Blue rate
                ","(42.298940, -71.626210)",35
https://www.trailforks.com/trails/link-7-128267/,Link 7,Westborough Wildlife Management Area,818 ft,-4 ft,4 ft,"
                     Blue rate
                ","(42.296310, -71.625250)",50
https://www.trailforks.com/trails/link-7-168424/,Link 7,Ames Nowell State Park,159 ft,-4 ft,,"
                     Green rate
                ","(42.120650, -70.999170)",15
https://www.trailforks.com/trails/link-7/,Link 7,Hopkinton State Park,679 ft,-33 ft,,"
                     Green rate
                ","(42.261680, -71.511610)",70
https://www.trailforks.com/trails/link-8-128268/,Link 8,Westborough Wildlife Management Area,"1,762 ft",-42 ft,13 ft,"
                     Blue rate
                ","(42.289830, -71.623320)",75
https://www.trailforks.com/trails/link-8/,Link 8,Hopkinton State Park,676 ft,,12 ft,"
                     Green rate
                ","(42.261410, -71.510170)",75
https://www.trailforks.com/trails/link-9/,Link 9,Hopkinton State Park,452 ft,,11 ft,,"(42.263950, -71.515750)",85
https://www.trailforks.com/trails/link-9-128269/,Link 9,Westborough Wildlife Management Area,"1,267 ft",-18 ft,2 ft,"
                     Blue rate
                ","(42.289440, -71.614780)",70
https://www.trailforks.com/trails/link-9-127042/,Link 9,Cameron Woods,"3,183 ft",-51 ft,128 ft,"
                     Blue rate
                ","(42.215400, -71.557390)",50
https://www.trailforks.com/trails/link-and-loop-link/,Link and Loop Link,Franklin State Forest,75 ft,,,"
                     Green rate
                ","(42.077140, -71.433260)",90
https://www.trailforks.com/trails/link-bridge/,Link Bridge,Wompatuck State Park,43 ft,,,"
                     Green rate
                ","(42.223050, -70.860250)",35
https://www.trailforks.com/trails/link-e/,Link E,Rayburn Trail Network,545 ft,-5 ft,,"
                     Blue rate
                ","(42.207160, -71.731430)",90
https://www.trailforks.com/trails/link-from-manning-parking-to-singletrack/,Link from Manning parking to singletrack,Billerica State Forest,"1,276 ft",-16 ft,,"
                     Green rate
                ","(42.585560, -71.299350)",85
https://www.trailforks.com/trails/link-it-up-386822/,Link it up,New Bedford Waterworks/ Assawompset pond complex,814 ft,-21 ft,14 ft,"
                     Green rate
                ","(41.809580, -70.909240)",95
https://www.trailforks.com/trails/link-to-high-rock-rd/,Link to High Rock Rd,F. Gilbert Hills State Forest,795 ft,-14 ft,35 ft,"
                     Blue rate
                ","(42.054140, -71.272430)",85
https://www.trailforks.com/trails/link-trail-744601750/,Link Trail,Flat Rock Reservation,"2,070 ft",-4 ft,147 ft,"
                     Green rate
                ","(42.600730, -71.822910)",5
