title_URL,title,ridingarea,distance,descent,climb,DifficultyRating,Coordinates,Local_Popularity
https://www.trailforks.com/trails/hunting-hill-trail-network-5/,Hunting Hill Trail Network 5,Hunting Hill Trail Network,665 ft,-4 ft,5 ft,"
                     Blue rate
                ","(42.613750, -71.671910)",95
https://www.trailforks.com/trails/hunting-hill-trail-network-6/,Hunting Hill Trail Network 6,Hunting Hill Trail Network,665 ft,-19 ft,,"
                     Blue rate
                ","(42.610340, -71.665750)",90
https://www.trailforks.com/trails/hunting-hill-trail-network-7/,Hunting Hill Trail Network 7,Hunting Hill Trail Network,"1,567 ft",-9 ft,15 ft,"
                     Blue rate
                ","(42.608880, -71.668730)",90
https://www.trailforks.com/trails/hunting-hill-trail-network-8/,Hunting Hill Trail Network 8,Hunting Hill Trail Network,"1,683 ft",-6 ft,21 ft,"
                     Blue rate
                ","(42.613270, -71.670280)",95
https://www.trailforks.com/trails/hunting-hill-trail-network-9/,Hunting Hill Trail Network 9,Hunting Hill Trail Network,"1,683 ft",-18 ft,,"
                     Blue rate
                ","(42.612130, -71.666410)",70
https://www.trailforks.com/trails/hunting-hill-trail-network-9-179863/,Hunting Hill Trail Network 9,Hunting Hill Trail Network,"1,683 ft",,11 ft,"
                     Blue rate
                ","(42.610440, -71.678420)",60
https://www.trailforks.com/trails/hunting-hill-trail-network-10/,Hunting Hill Trail Network 10,Hunting Hill Trail Network,"1,683 ft",-8 ft,,"
                     Blue rate
                ","(42.606800, -71.665470)",5
https://www.trailforks.com/trails/hunting-hill-trail-network-11/,Hunting Hill Trail Network 11,Hunting Hill Trail Network,"1,711 ft",-2 ft,14 ft,"
                     Blue rate
                ","(42.604660, -71.668880)",70
https://www.trailforks.com/trails/hunting-hill-trail-network-12/,Hunting Hill Trail Network 12,Hunting Hill Trail Network,"1,711 ft",-21 ft,44 ft,"
                     Blue rate
                ","(42.606290, -71.663960)",5
https://www.trailforks.com/trails/hurd-property-trail/,Hurd Property Trail,Groton,"2,892 ft",-187 ft,34 ft,"
                     Green rate
                ","(42.592000, -71.564080)",15
