created,username_URL,username,prov,city,trails5,trails7,trails9,trails11,trails13,trails15,trails17,dist
"Oct 2, 2020",https://www.trailforks.com/profile/jckennedy38/,jckennedy38,IA,Des Moines,,,,,,,,12 miles
"Oct 2, 2020",https://www.trailforks.com/profile/jpbrastad/,jpbrastad,WA,Bellevue,,,,,,,,5 miles
"Oct 2, 2020",https://www.trailforks.com/profile/Rburger83/,Rburger83,NC,Clemmons,,,,,,,,5 miles
"Oct 2, 2020",https://www.trailforks.com/profile/laliberte/,laliberte,ON,Richmond Hill,South East Access,Crackhouse,South East Access,Moto XC,Moto XC,Day Dreamer,TTC,7 miles
"Oct 2, 2020",https://www.trailforks.com/profile/Sblairbiking/,Sblairbiking,GA,Dacula,Miller Lake Trail,Miller Lake Trail,Miller Lake Trail,Miller Lake Trail,Miller Lake Trail,Miller Lake Trail,Miller Lake Trail,11 miles
"Oct 2, 2020",https://www.trailforks.com/profile/spinnieb/,spinnieb,WA,Bellingham,Brer Rabbit,Hop Scotch,Art's Trail,Kaya,Hop Scotch,Lost Giants,Last Call,5 miles
"Oct 2, 2020",https://www.trailforks.com/profile/Football27284/,Football27284,NC,Cary,,,,,,,,4 miles
"Oct 2, 2020",https://www.trailforks.com/profile/javir/,javir,CA,Kernville,,,,,,,,5 miles
"Oct 2, 2020",https://www.trailforks.com/profile/rtolle84/,rtolle84,OH,Cincinnati,Creamy Whip,The Falls,Creamy Whip,The Falls,,,,6 miles
"Oct 2, 2020",https://www.trailforks.com/profile/BRoeber/,BRoeber,MI,Niles,,,,,,,,5 miles
"Oct 2, 2020",https://www.trailforks.com/profile/mattmd/,mattmd,AB,Edmonton,Dirty Mattress,West Coast Trail,Wreckless Abandon,Too Much,McClung Connector,Root and Roll,Gnome Trail,15 miles
"Oct 2, 2020",https://www.trailforks.com/profile/smittyinseattle/,smittyinseattle,WA,Renton,,,,,,,,25 miles
"Oct 2, 2020",https://www.trailforks.com/profile/Jdbrown585/,Jdbrown585,CA,morro bay,,,,,,,,5 miles
