created,username_URL,username,prov,city,trails5,trails7,trails9,trails11,trails13,trails15,trails17,dist
"Oct 3, 2020",https://www.trailforks.com/profile/jgaikwad/,jgaikwad,MO,Kansas City,Highwater,Connector Trail,Unknown Trail,Bo Ho Ca,Connector Trail,Highwater,Connector Trail,5 miles
"Oct 3, 2020",https://www.trailforks.com/profile/schindlercolin/,schindlercolin,SD,Pierre,,,,,,,,25 miles
"Oct 3, 2020",https://www.trailforks.com/profile/dchristy/,dchristy,CA,Downieville,Pack Saddle Loop,Gold Valley OHV Trail (Rim to Pauley),Pauley Creek OHV Trail (Doubletrack),Pauley Creek Trail,Third Divide,,,13 miles
"Oct 3, 2020",https://www.trailforks.com/profile/bobkorn/,bobkorn,MA,Brewster,The Race,The Training Loop,Winterberry Express,Freeman escape,Cool Whip,Bomber Connecter,,18 miles
"Oct 3, 2020",https://www.trailforks.com/profile/rlw/,rlw,CO,Dillon,Hay,,,,,,,12 miles
"Oct 3, 2020",https://www.trailforks.com/profile/Shannonmichele/,Shannonmichele,MA,Chicopee,Yellow Jacket,Gully,Ravine View,The Dip,Log Run,CMSP Access Road,,6 miles
"Oct 3, 2020",https://www.trailforks.com/profile/Bogslog/,Bogslog,NL,Corner Brook,,,,,,,,"1,207 ft"
"Oct 3, 2020",https://www.trailforks.com/profile/lilhennessy/,lilhennessy,ID,Driggs,,,,,,,,10 miles
"Oct 3, 2020",https://www.trailforks.com/profile/smalljennie/,smalljennie,BC,Squamish,50 Shades of Green Part 2,Rupert,Tazer's Alternate,Rollercoaster,,,,6 miles
"Oct 3, 2020",https://www.trailforks.com/profile/Stkach/,Stkach,OH,Amherst,,,,,,,,5 miles
"Oct 3, 2020",https://www.trailforks.com/profile/BarryR1/,BarryR1,MA,Wilbraham,,,,,,,,7 miles
"Oct 3, 2020",https://www.trailforks.com/profile/westicle/,westicle,NL,St. John's,,,,,,,,8 miles
"Oct 3, 2020",https://www.trailforks.com/profile/lindseyhol/,lindseyhol,CA,Redwood City,,,,,,,,5 miles
"Oct 3, 2020",https://www.trailforks.com/profile/imnotajedi/,imnotajedi,NJ,Hackettstown,Ditch / Cardiac (Purple),,,,,,,3 miles
"Oct 3, 2020",https://www.trailforks.com/profile/kltilton1/,kltilton1,NH,Albany,,,,,,,,5 miles
"Oct 3, 2020",https://www.trailforks.com/profile/austingarrett/,austingarrett,WA,Spokane,Trail 110,Bottom 140 - Bear Creek Lodge,,,,,,10 miles
"Oct 3, 2020",https://www.trailforks.com/profile/brad0383/,brad0383,MN,Lakeville,,,,,,,,22 miles
"Oct 3, 2020",https://www.trailforks.com/profile/Shumdog/,Shumdog,NH,enfield,Whaleback Climb,Shamu,,,,,,2 miles
"Oct 3, 2020",https://www.trailforks.com/profile/manblk34/,manblk34,MD,Waldorf,Cosca Loop,,,,,,,8 miles
"Oct 3, 2020",https://www.trailforks.com/profile/mgalvin122/,mgalvin122,OR,Hood River,Access Trail - Dirt Surfer,163 Hidden Trail,133 Borderline,Connector,Connector,140 Blue Car downhill,118 Charlies Loop Access,8 miles
"Oct 3, 2020",https://www.trailforks.com/profile/Ashleyfaith/,Ashleyfaith,BC,Cumberland,Sobo no Michi - Climbing Trail - Lower Section,Short Guts,Reservoir Double Track,Roughneck,Gingersnaps,Found Link,Lost and Found,8 miles
"Oct 3, 2020",https://www.trailforks.com/profile/ghostofwar/,ghostofwar,CO,Fruita,12 Road,Marys Cutoff,Horsethief Bench,Marys,Marys Cutoff,,,12 miles
"Oct 3, 2020",https://www.trailforks.com/profile/gregmay84/,gregmay84,UT,Eagle Mountain,Given to Fly (Lower),,,,,,,4 miles
"Oct 3, 2020",https://www.trailforks.com/profile/Yeti575X/,Yeti575X,CO,Aspen,,,,,,,,28 miles
"Oct 3, 2020",https://www.trailforks.com/profile/TaraSherlock/,TaraSherlock,BC,Williams Lake,Snap,AK Connector,Chicken Scratch,Chicken Scratch,,,,6 miles
"Oct 3, 2020",https://www.trailforks.com/profile/Etho1122/,Etho1122,AZ,Flagstaff,AZT Access (Flagstaff),Rio De Flag West,Forest Road 301,Fisher Point Access,AZT - Fisher Point,AZT Connect (Flagstaff),,14 miles
"Oct 3, 2020",https://www.trailforks.com/profile/triggerb/,triggerb,MN,Savage,Trailhead to Forest,Intermediate to Hard,Hard Loop,Intermediate to Hard,High Skinny,Rock Garden Climb,Intermediate to Hard,12 miles
"Oct 3, 2020",https://www.trailforks.com/profile/christop1977/,christop1977,OH,Zanesville,,,,,,,,10 ft
"Oct 3, 2020",https://www.trailforks.com/profile/vbelanger/,vbelanger,QC,Baie-Saint-Paul,Central Park,,,,,,,6 miles
"Oct 3, 2020",https://www.trailforks.com/profile/RossrSqprh/,RossrSqprh,AB,Calgary,Sheriff,Deputy,Berm Blaster,Sluice,Fuzzy Groover,Dirty Dancing,Sunset Meadow,9 miles
"Oct 3, 2020",https://www.trailforks.com/profile/randytate/,randytate,UT,Draper,Vertigo,Vertigo Jump Line #1,,,,,,2 miles
"Oct 3, 2020",https://www.trailforks.com/profile/Bcassidy333/,Bcassidy333,VT,Pittsfield,Green Trail,Zebedee,Upper Fusters,Bubba,VAST,Luvin It,Upper Bubba,10 miles
"Oct 3, 2020",https://www.trailforks.com/profile/teddlg/,teddlg,UT,Park City,Tin Man,Rambler,Rambler,Rusty Shovel,RV Connector,Rv Conn,,8 miles
"Oct 3, 2020",https://www.trailforks.com/profile/rawket/,rawket,WA,Issaquah,Spruce Coaster,,,,,,,10 miles
"Oct 3, 2020",https://www.trailforks.com/profile/EmiAl/,EmiAl,WA,Issaquah,Master Link,Quick Link,Drop In,Drop In,NOTG,Fully Rigid,Joy Ride,10 miles
"Oct 3, 2020",https://www.trailforks.com/profile/Lund902/,Lund902,PE,Brookvale,Blue Nuit,Black Fly,,,,,,4 miles
"Oct 3, 2020",https://www.trailforks.com/profile/Ebusto/,Ebusto,BC,Prince George,Lowrider,Shady Lane,Park Avenue,Easy Street,Easy Street (Upper),10 Dollar,Dixie,8 miles
"Oct 3, 2020",https://www.trailforks.com/profile/rtm18/,rtm18,WA,Spokane,Excellent scooby doo ending,,,,,,,25 miles
"Oct 3, 2020",https://www.trailforks.com/profile/leahmont11/,leahmont11,BC,Port Coquitlam,South Alouette River Dyke Trail,South Alouette River Dyke Trail,North Alouette River Trail,South Alouette River Dyke Trail,PoCo Trail - South Pitt River,PoCo Trail - South Pitt River,Sheep Paddocks Trail,35 miles
"Oct 3, 2020",https://www.trailforks.com/profile/DanThomas367/,DanThomas367,GA,Atlanta,Access Trail,Cochran Shoals - East,Sope Creek Trail Access,Sope Creek Loop - East,Sope Creek Loop - West,Sope Creek Trail Access,Cochran Shoals - West,10 miles
"Oct 3, 2020",https://www.trailforks.com/profile/fitztek/,fitztek,WA,Bellingham,Irish Death,Radical Dragon,RD 2100,SST Access,Dragonfly,SST,Backdoor,7 miles
"Oct 3, 2020",https://www.trailforks.com/profile/Aiken-Animas/,Aiken-Animas,NM,Albuquerque,Tunnel Canyon,,,,,,,5 miles
"Oct 3, 2020",https://www.trailforks.com/profile/ohops15/,ohops15,CA,Santa Cruz,U-Con Trail,U-Con Trail,Englesman/Long Meadow,,,,,16 miles
"Oct 3, 2020",https://www.trailforks.com/profile/Jessmf02/,Jessmf02,AZ,Flagstaff,,,,,,,,11 miles
"Oct 3, 2020",https://www.trailforks.com/profile/luke899/,luke899,BC,Squamish,Cheshire Cat Access,Fvdr Garden,,,,,,3 miles
"Oct 3, 2020",https://www.trailforks.com/profile/hurtinalbertan/,hurtinalbertan,AB,Bragg Creek,Moose Packers,,,,,,,39 miles
"Oct 3, 2020",https://www.trailforks.com/profile/markspeyers/,markspeyers,ON,Niagara-on-the-Lake,,,,,,,,7 miles
"Oct 3, 2020",https://www.trailforks.com/profile/Mikelopu/,Mikelopu,PA,Schwenksville,Goat Hill,A-Frame,Flowdacious,,,,,4 miles
"Oct 3, 2020",https://www.trailforks.com/profile/ScottYanuck/,ScottYanuck,NY,Rosendale,,,,,,,,26 miles
"Oct 3, 2020",https://www.trailforks.com/profile/zhenyulvapp/,zhenyulvapp,VT,Pittsfield,Green Trail,Zebedee,Zebedee,Upper Fusters,Bubba,Riverside Run,Upper Noodles,10 miles
