trail_name,length,longitude,latitude,popularity,rating,tot_climb,tot_descent,ave_grade,max_grade,max_elevation,min_elevation,difficulty_difficult,difficulty_easy,difficulty_easy/intermediate,difficulty_intermediate,difficulty_intermediate/difficult,difficulty_very difficult,dog_policy_leashed,dog_policy_no dogs,dog_policy_off-leash,dog_policy_unknown,e_bike_policy_allowed,e_bike_policy_not allowed,e_bike_policy_unknown
los burros shortcut,0.014450867052023121,0.5006304717728423,0.8640677665815382,0.9424083769633508,1.0,0.0033105585687117,0.02957547561684805,0.21052631578947367,0.17346938775510204,0.7631528964862297,0.785453067858594,0,0,0,1,0,0,0,0,0,1,0,0,1
cherum peak trail,0.01878612716763006,0.7287644913441564,0.0887510595352694,0.9413612565445026,1.0,0.07748115799112489,0.014040043200132923,0.47368421052631576,0.26530612244897955,0.6448243114909781,0.5829947175944737,1,0,0,0,0,0,0,0,0,1,1,0,0
#305 homestead trail,0.0476878612716763,0.5724739041100895,0.39736504386867466,0.9403141361256544,0.82,0.06888779319574559,0.04203705242169976,0.21052631578947367,0.16326530612244897,0.5632478632478631,0.5438845997561966,0,0,0,0,1,0,0,0,0,1,0,0,1
ocotillo trail,0.04552023121387283,0.4347345225562149,0.4596975060921622,0.9392670157068063,0.82,0.0315559625272945,0.026750851541081665,0.10526315789473684,0.1020408163265306,0.17037037037037037,0.16070702966273873,0,0,0,1,0,0,1,0,0,0,0,0,1
javelina,0.00939306358381503,0.6333796375559437,0.5077678706814801,0.9382198952879581,0.8400000000000001,0.0022539973233781786,0.02766470050677079,0.3157894736842105,0.14285714285714285,0.41946818613485276,0.41873222267370985,0,0,0,0,1,0,0,0,0,1,0,0,1
molino basin,0.0180635838150289,0.17897221764496152,0.6928780385745696,0.9371727748691099,0.8,0.011903923364091006,0.05616017280053169,0.3157894736842105,0.25510204081632654,0.4547008547008547,0.426757415684681,0,0,0,0,1,0,0,0,0,1,0,0,1
burro pit loop,0.017341040462427744,0.14680414277887088,0.6826279539086073,0.9361256544502617,1.0,0.004648869479467493,0.008141563512503116,0.05263157894736842,0.07142857142857142,0.2570750237416904,0.27245022348638764,0,0,0,1,0,0,0,0,0,1,0,1,0
ridge trail #59,0.013728323699421964,0.38721053686773654,0.5264281954289345,0.9350785340314136,0.8800000000000001,0.004930619144889766,0.03132009636952729,0.21052631578947367,0.1020408163265306,0.15327635327635328,0.12738724095895979,0,0,0,1,0,0,0,0,0,1,0,0,1
latigo trail,0.014450867052023121,0.43286122783373493,0.49503883010751437,0.9340314136125655,0.96,0.007536803550045785,0.011049264766968513,0.10526315789473684,0.07142857142857142,0.25754985754985754,0.26279967492889067,0,1,0,0,0,0,1,0,0,0,0,1,0
quartz trail,0.010115606936416183,0.4470093964663233,0.46986217632110794,0.9329842931937172,0.96,0.004930619144889766,0.0248400764310044,0.2631578947368421,0.09183673469387754,0.21671415004748337,0.202661519707436,0,0,0,1,0,0,0,0,0,1,1,0,0
soldier's trail,0.03757225433526012,0.6795084266127462,0.5224239313993486,0.9319371727748691,0.76,0.021553849404803833,0.025753925396693526,0.10526315789473684,0.08163265306122448,0.6651471984805317,0.6944331572531491,0,0,0,1,0,0,0,0,0,1,0,0,1
badger trail,0.02384393063583815,0.6948013170370544,0.09248006013175925,0.930890052356021,0.9400000000000001,0.07339578784250195,0.0003323087147960455,0.3157894736842105,0.11224489795918366,0.41405508072174735,0.33797236895570903,1,0,0,0,0,0,0,0,0,1,0,0,1
dixie mountain loop,0.028901734104046242,0.4304876975435068,0.4510627229030604,0.9298429319371728,0.9,0.03824751708107347,0.04486167649746614,0.2631578947368421,0.18367346938775508,0.1825261158594492,0.15593254774481918,0,0,0,1,0,0,1,0,0,0,0,0,1
explorer trail,0.03395953757225434,0.15157441200450972,0.6407956610170409,0.9287958115183246,0.8,0.047263506374586185,0.03389548890919664,0.21052631578947367,0.19387755102040816,0.2699905033238367,0.24156846810239738,1,0,0,0,0,0,0,0,0,1,0,0,1
ridgeback trail,0.01300578034682081,0.4372312371939602,0.45694786566932777,0.9277486910994764,0.9199999999999999,0.019581601746847928,0.027332391791974744,0.3157894736842105,0.21428571428571427,0.18850902184235518,0.1719829337667615,0,0,0,0,1,0,0,0,0,1,0,0,1
sierra prieta trail #366,0.006502890173410405,0.5661684722695082,0.3695843944829633,0.9267015706806283,1.0,0.00366274565048954,0.014123120378831934,0.2631578947368421,0.13265306122448978,0.6535612535612535,0.6824461600975212,0,0,0,1,0,0,1,0,0,0,0,0,1
hi top,0.007947976878612718,0.2556337647225382,0.03343966403419785,0.9256544502617801,1.0,0.005916742973867719,0.004652322007144637,0.10526315789473684,0.1020408163265306,0.038176638176638175,0.035960991466883384,1,0,0,0,0,0,0,0,0,1,0,0,1
naked man trail,0.004335260115606936,0.5539241266542181,0.0697635182435512,0.9246073298429319,1.0,0.002676621821511587,0.004652322007144637,0.15789473684210525,0.061224489795918366,0.06904083570750237,0.06897602600568874,0,0,0,1,0,0,0,0,1,0,0,0,1
azt: segment 7 - antelope peak and boulders segment,0.3171965317919075,0.23179188058045153,0.6893943623301517,0.9235602094240838,1.0,0.313446502782278,0.4300905541247819,0.21052631578947367,0.2346938775510204,0.38803418803418804,0.2716375457131247,0,0,0,0,1,0,1,0,0,0,0,0,1
jordan trail,0.011560693641618498,0.6339598536855595,0.5088768494647162,0.9225130890052355,0.8,0.012256110445868846,0.016366204203705242,0.21052631578947367,0.11224489795918366,0.4233618233618233,0.43945550589191384,0,0,0,0,1,0,0,0,0,1,0,0,1
yuma bike path (colorado river levee multi-use path),0.06213872832369942,0.24705584946230008,0.009747108104910751,0.9214659685863874,1.0,0.007536803550045785,0.009304644014289274,0.0,0.04081632653061224,0.003418803418803419,0.00020316944331572398,0,1,0,0,0,0,1,0,0,0,1,0,0
#9415 wolverton mountain trail,0.0361271676300578,0.5662993333227408,0.3830855111226299,0.9204188481675393,0.9,0.07867859406916955,0.019523136994267675,0.2631578947368421,0.14285714285714285,0.6229819563152895,0.5588175538399024,0,0,0,0,1,0,0,0,0,1,0,0,1
donahue trail #27,0.005057803468208092,0.5428582446301897,0.565504507856982,0.919371727748691,1.0,0.011903923364091006,0.00016615435739802275,0.21052631578947367,0.11224489795918366,0.5150047483380816,0.5345388053636733,0,0,0,1,0,0,0,0,0,1,0,0,1
clubhouse trail,0.006502890173410405,0.4205481489230918,0.4689888357166865,0.9183246073298429,1.0,0.004014932732267381,0.00016615435739802275,0.05263157894736842,0.030612244897959183,0.1466286799620133,0.15186915887850466,0,1,0,0,0,0,1,0,0,0,1,0,0
ledge-n-airy,0.005780346820809249,0.6276265714707554,0.4939582053951277,0.9172774869109948,1.0,0.014369232936535888,0.00016615435739802275,0.2631578947368421,0.16326530612244897,0.405318138651472,0.41365298659081673,0,0,0,0,1,0,0,0,0,1,0,0,1
flat rock trail,0.0036127167630057803,0.4465430812261513,0.47155021215360904,0.9162303664921466,1.0,0.010213425371557372,8.307717869901138e-05,0.2631578947368421,0.12244897959183673,0.20579297245963912,0.2062169849654612,0,0,0,1,0,0,0,0,0,1,1,0,0
happy ending,0.002167630057803468,0.5788268244092825,0.3717928419883947,0.9151832460732984,1.0,0.0003521870817778404,0.0045692448284456256,0.15789473684210525,0.061224489795918366,0.5341880341880341,0.5669443315725314,1,0,0,0,0,0,1,0,0,0,0,0,1
fs road #217,0.09248554913294799,0.02405647484602369,0.5964904000336695,0.9141361256544502,1.0,0.10389518912446292,0.1352496469219905,0.2631578947368421,0.18367346938775508,0.4181386514719848,0.3496546119463632,0,0,0,1,0,0,0,0,0,1,0,0,1
floaty mczebratail,0.008670520231213872,0.18754745498460057,0.30909970189480873,0.9130890052356021,1.0,0.00014087483271113616,0.012129268090055661,0.10526315789473684,0.04081632653061224,0.16125356125356125,0.15847216578626575,0,0,0,1,0,0,0,0,0,1,0,0,1
360 vista,0.007947976878612718,0.14984376118589715,0.6357852677531213,0.912041884816754,0.96,0.00732549130097908,0.015203123701919083,0.2631578947368421,0.12244897959183673,0.25726495726495724,0.2572125152377082,1,0,0,0,0,0,0,0,0,1,0,0,1
east butte trail,0.019508670520231215,0.26299518991902016,0.520721630475304,0.9109947643979057,1.0,0.01845460308515884,0.02417545900141231,0.21052631578947367,0.12244897959183673,0.1492877492877493,0.14110117838277123,0,0,0,1,0,0,0,0,0,1,0,0,1
powerlines trail,0.005057803468208092,0.42061099079313014,0.4680681209193658,0.9099476439790576,1.0,0.0021835599070226105,0.0,0.05263157894736842,0.01020408163265306,0.14349477682811015,0.15095489638358392,0,1,0,0,0,0,1,0,0,0,0,0,1
sonny's trail,0.007947976878612718,0.5545046998399137,0.06983308257885312,0.9089005235602095,1.0,0.0022539973233781786,0.017861593420287446,0.21052631578947367,0.32653061224489793,0.0721747388414055,0.057090613571718817,0,0,0,1,0,0,0,0,1,0,0,0,1
inner loop connector,0.0028901734104046246,0.12354033242992202,0.7193408400589085,0.9078534031413612,1.0,0.006057617806578855,0.00016615435739802275,0.21052631578947367,0.061224489795918366,0.3513770180436847,0.3677366924014628,0,1,0,0,0,0,1,0,0,0,0,0,1
san tan trail,0.0476878612716763,0.3273929318249609,0.5314764528247231,0.9068062827225131,0.78,0.04240332464605198,0.0379662706654482,0.15789473684210525,0.17346938775510204,0.16932573599240267,0.15877691995123933,0,0,0,1,0,0,0,0,0,1,1,0,0
danny's climb,0.005780346820809249,0.18972228356644028,0.3074005709911063,0.9057591623036649,1.0,0.011833485947735438,0.0,0.21052631578947367,0.1020408163265306,0.16391263057929725,0.1588785046728972,0,0,0,0,1,0,0,0,0,1,0,0,1
navigator south,0.0007225433526011561,0.4217464291267774,0.4693859688207347,0.9047120418848167,1.0,0.0002817496654222723,0.0,0.05263157894736842,0.01020408163265306,0.1446343779677113,0.15491670052824055,0,1,0,0,0,0,0,0,0,1,0,0,1
cedar knoll trail,0.005057803468208092,0.5880065576919602,0.509147533979533,0.9036649214659686,1.0,0.0028879340705782915,0.0011630805017861592,0.10526315789473684,0.0510204081632653,0.3406457739791073,0.3614384396586753,0,1,0,0,0,0,0,0,0,1,0,0,1
children's trail,0.0028901734104046246,0.4696676397039923,0.8965044714017516,0.9026178010471204,1.0,0.0,0.0211846805682479,0.631578947368421,0.24489795918367346,0.9207977207977207,0.9596708655018285,1,0,0,0,0,0,0,1,0,0,0,0,1
mano y mano,0.008670520231213872,0.26281059192578304,0.030728063855477217,0.9015706806282723,1.0,0.008029865464534762,0.0057323253302317845,0.15789473684210525,0.09183673469387754,0.02943969610636277,0.020926452661519705,1,0,0,0,0,0,0,0,0,1,0,0,1
johnimal's junction,0.004335260115606936,0.6912164739962305,0.09843476723332856,0.900523560209424,1.0,0.0007748115799112489,0.007310791725513001,0.15789473684210525,0.13265306122448978,0.3376068376068376,0.3533116619260463,1,0,0,0,0,0,0,0,0,1,0,0,1
navigator north,0.0007225433526011561,0.42195334312500066,0.4696106880405857,0.8994764397905759,1.0,0.0007748115799112489,0.0,0.10526315789473684,0.02040816326530612,0.14577397910731243,0.15542462413652988,0,1,0,0,0,0,0,0,0,1,0,0,1
freemont bend trail,0.0028901734104046246,0.4205722502084752,0.4680760459702249,0.8984293193717278,1.0,0.0007043741635556808,0.0003323087147960455,0.05263157894736842,0.01020408163265306,0.14083570750237417,0.15024380333197887,0,1,0,0,0,0,1,0,0,0,1,0,0
cow poke trail,0.0072254335260115606,0.4384909310433658,0.5046670624495739,0.8973821989528796,1.0,0.009649926040712827,0.0003323087147960455,0.15789473684210525,0.0510204081632653,0.24995251661918327,0.2544697277529459,0,1,0,0,0,0,1,0,0,0,0,1,0
lagarto,0.024566473988439304,0.17390898390587495,0.312773227135299,0.8963350785340314,1.0,0.009297738958934987,0.011049264766968513,0.05263157894736842,0.08163265306122448,0.16429249762583095,0.16436407964242178,0,0,0,1,0,0,0,0,0,1,0,0,1
magma,0.013728323699421964,0.16730112556573307,0.31553378651708996,0.8952879581151832,1.0,0.0027470592378671553,0.003489241505358478,0.05263157894736842,0.04081632653061224,0.14710351377018044,0.15440877691995125,0,0,1,0,0,0,0,0,0,1,0,0,1
