trail_name,length,longitude,latitude,popularity,rating,tot_climb,tot_descent,ave_grade,max_grade,max_elevation,min_elevation,difficulty_difficult,difficulty_easy,difficulty_easy/intermediate,difficulty_intermediate,difficulty_intermediate/difficult,difficulty_very difficult,dog_policy_leashed,dog_policy_no dogs,dog_policy_off-leash,dog_policy_unknown,e_bike_policy_allowed,e_bike_policy_not allowed,e_bike_policy_unknown
mustang,0.008045052292839904,0.6969933677080791,0.36586468818932616,0.5797413793103449,0.8,0.001288366805608185,0.08949038970199259,0.4,0.2878787878787879,0.5683981194817107,0.494399428026692,0,0,0,1,0,0,0,0,0,1,0,0,1
white creek trail #40,0.02011263073209976,0.17637989832566525,0.41053706999182893,0.5786637931034483,0.8,0.025009473285335357,0.0005290072297654734,0.2,0.15151515151515152,0.4932920536635707,0.4966634890371783,1,0,0,0,0,0,0,0,0,1,0,0,1
the milky way,0.011263073209975865,0.006260956068994794,0.05076475061407493,0.5775862068965518,0.8,0.0,0.057838123787691764,0.6000000000000001,0.42424242424242425,0.7582846003898636,0.7324833174451858,0,1,0,0,0,0,0,0,0,1,0,0,1
hodges canyon trail #28,0.02011263073209976,0.9868576508979823,0.4827743742714752,0.5765086206896552,0.8,0.0960212201591512,0.0024687004055722094,0.4,0.42424242424242425,0.4876734319458778,0.3811963775023832,1,0,0,0,0,0,1,0,0,0,0,0,1
rusty shovel,0.012872083668543846,0.7435555407880416,0.48224605133418663,0.5754310344827587,0.76,0.0,8.816787162757891e-05,0.0,0.0,0.1989450751060658,0.2293851286939943,0,0,0,1,0,0,0,0,1,0,0,0,1
warner to oowah (#030),0.008045052292839904,0.3039494709370292,0.9466197767761813,0.5743534482758621,0.8,0.00015157256536566882,0.00405572209486863,0.15000000000000002,0.15151515151515152,0.4478844169246646,0.4824833174451858,1,0,0,0,0,0,1,0,0,0,0,1,0
bench trail,0.025744167337087693,0.7035179239023295,0.3135204501665605,0.5732758620689655,0.8,0.0005305039787798409,0.02116028919061894,0.25,0.4393939393939394,0.3746130030959753,0.38429456625357483,0,0,0,0,1,0,1,0,0,0,0,0,1
pump track,0.0008045052292839904,0.9558758763596602,0.40400892962742674,0.572198275862069,0.8,0.012125805229253505,0.19670252160112855,0.30000000000000004,0.36363636363636365,0.6446508427932576,0.4457816968541468,0,0,0,1,0,0,1,0,0,0,0,1,0
yabba dabba doo,0.002413515687851971,0.7456003044792885,0.4762025935048335,0.5711206896551724,0.8,0.011746873815839333,0.006877093986951155,0.2,0.18181818181818182,0.2429767228528838,0.26263107721639656,0,1,0,0,0,0,0,1,0,0,0,1,0
pork-u-pine,0.007240547063555914,0.7010003312621889,0.41094227218076185,0.5700431034482759,0.76,0.1927245168624479,0.0,0.5,0.5757575757575758,0.6034858387799564,0.34663965681601516,0,0,0,1,0,0,0,1,0,0,0,0,1
bunchgrass,0.05792437650844731,0.989945538079545,0.4456075091850451,0.5689655172413793,0.8,0.004168245547555892,0.024598836184094516,0.25,0.13636363636363635,0.5009746588693957,0.5110819828408008,0,0,0,1,0,0,0,0,0,1,0,0,1
boulder field trail,0.008849557522123895,0.8499656151861066,0.3866250810878711,0.5678879310344828,0.8,0.01750663129973475,0.00890495503438547,0.2,0.3939393939393939,0.03210640981538815,0.03896568160152525,0,1,0,0,0,0,1,0,0,0,0,0,1
left fork maple canyon road,0.03781174577634755,0.6292803555480377,0.4715362328129018,0.5668103448275863,0.8,0.0007578628268283441,0.08296596720155175,0.5,0.5151515151515151,0.4087833963994955,0.336510962821735,0,0,0,0,1,0,0,0,0,1,0,0,1
nowhere elks,0.010458567980691875,0.742745005643541,0.4806872245990199,0.5657327586206897,0.8,0.03812050018946571,0.0,0.45,0.5,0.543515651874785,0.5275262154432793,0,0,0,1,0,0,0,0,1,0,0,0,1
anticline lower,0.012872083668543846,0.0324673193236622,0.07801913051874365,0.5646551724137931,0.8,0.0018188707843880259,0.00017633574325515782,0.0,0.015151515151515152,0.14574016741199403,0.17135367016205905,0,0,0,0,1,0,0,0,0,1,0,0,1
green mile,0.013676588897827836,0.8654582141443905,0.3986019470365747,0.5635775862068966,0.8,0.016597195907540736,0.019749603244577675,0.15000000000000002,0.15151515151515152,0.4246072698085082,0.44375595805529067,0,0,0,1,0,0,0,0,0,1,0,0,1
lower jenni's trail,0.008849557522123895,0.7337447428489154,0.4754166446180754,0.5625,0.76,0.0023493747631678666,0.015164873919943572,0.2,0.18181818181818182,0.6749226006191951,0.7042421353670162,0,0,0,1,0,0,0,0,0,1,0,0,1
us 191 side path,0.009654062751407884,0.32100353312773056,0.883097903553022,0.5614224137931034,0.76,0.07184539598332702,8.816787162757891e-05,0.5,0.36363636363636365,0.6318082788671024,0.5663727359389895,0,0,1,0,0,0,1,0,0,0,0,1,0
dead dog loop,0.02252614641995173,0.530218461876153,0.6298967113899963,0.5603448275862069,0.8,0.0,0.019044260271557045,0.35000000000000003,0.19696969696969696,0.3062722164889347,0.3151811248808388,1,0,0,0,0,0,0,0,0,1,0,0,1
baggage claim,0.007240547063555914,0.8780101311858681,0.4237504140040613,0.5592672413793104,0.8,0.0376657824933687,0.03791218479985893,0.45,0.3939393939393939,0.6549707602339181,0.6466873212583413,0,1,0,0,0,0,0,0,0,1,0,0,1
mill d north fork trail,0.015285599356395816,0.7335236328889989,0.44602030100914547,0.5581896551724138,0.8,0.006441834028040925,0.0689472756127667,0.30000000000000004,0.24242424242424243,0.6339869281045751,0.5887750238322211,0,0,0,1,0,0,0,1,0,0,0,0,1
ziggy,0.004827031375703942,0.6969067763758714,0.4245439525259904,0.5571120689655173,0.8,0.008336491095111784,0.00890495503438547,0.15000000000000002,0.16666666666666669,0.37988762756564615,0.40693517635843657,0,0,0,1,0,0,0,0,0,1,0,0,1
horse flat trail,0.016090104585679808,0.6881870292225605,0.4541618713173179,0.5560344827586208,0.8,0.005987116331943918,0.0401163815905484,0.4,0.3939393939393939,0.3773649810801513,0.36999523355576736,1,0,0,0,0,0,0,0,0,1,0,0,1
jones ranch trail #123,0.021721641190667742,0.5861198121974978,0.44873802287052555,0.5549568965517242,0.8,0.007654414550966275,0.0035267148651031564,0.1,0.12121212121212122,0.43607384474257543,0.46687321258341274,0,0,0,1,0,0,0,0,1,0,1,0,0
